center_ps,D_cm2_s_fit2to8ps
1.000000000000000000e+01,9.033051634201589774e-08
3.000000000000000000e+01,1.226688804512615959e-06
5.000000000000000000e+01,7.955521893036569173e-07
7.000000000000000000e+01,6.002402970247630600e-07
