1000/T (K-1),ionic conductivity_glass-ceramic (S/cm),ionic conductivity_glass (S/cm),1000/T (K-1),ionic conductivity_crystal (S/cm)
3.33333333333333,1.99406235394461e-09,1.18583296051821e-09,3.33333333333333,4.39227349511735e-11
2.5,1.97096457273779e-08,1.15745867820504e-08,1.42857142857142,8.41267103151884e-07
2,9.35033480925553e-08,9.35033480925553e-08,1.25,5.59262632755245e-06
1.66666666666666,3.64242625492515e-07,3.63808437900839e-07,1.11111111111111,1.43183411214957e-05
1.42857142857142,1.24036147902505e-06,1.52370874371679e-06,1,4.50333348350274e-05
1.25,3.00239825454735e-06,3.63328183285763e-06,,
1.11111111111111,6.61951124329699e-06,9.10638144850278e-06,,
1,1.2507208070392e-05,1.65585501744978e-05,,
