center_ps,D_cm2_s_fit2to8ps
1.000000000000000000e+01,3.056775639531326869e-07
3.000000000000000000e+01,1.584948205088247401e-06
5.000000000000000000e+01,1.913869932424431047e-06
7.000000000000000000e+01,6.081586052966549028e-07
