lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,3.123910117474302250e-01,4.906555509698345280e-02,7.594051902229030648e-02,1.310731277664262950e-01
2.000000000000000111e-01,4.390081296326569515e-01,9.925188870816775699e-02,1.114394710694033286e-01,2.377830071390700239e-01
3.000000000000000444e-01,5.089578901558569068e-01,1.341596336902828313e-01,1.311359362056168931e-01,2.892855942278855230e-01
4.000000000000000222e-01,5.576951528707232431e-01,1.661750913178174360e-01,1.501318846447298738e-01,3.251828279932243992e-01
5.000000000000000000e-01,6.029476037314066561e-01,1.849278922178972662e-01,1.650050520824746514e-01,3.461961862198369433e-01
6.000000000000000888e-01,6.356762928990562500e-01,1.934098325181929368e-01,1.760836420403174285e-01,3.564254765562778204e-01
7.000000000000000666e-01,6.544146193153632662e-01,1.952887739888866381e-01,1.769773646087742236e-01,3.594938870533261888e-01
8.000000000000000444e-01,6.706812461709832363e-01,1.927411261976205437e-01,1.761008784288886908e-01,3.594037005099763871e-01
9.000000000000000222e-01,6.833141582389175017e-01,1.869782043983567177e-01,1.731048206665915246e-01,3.555271961589769880e-01
1.000000000000000000e+00,6.923774827775346363e-01,1.804120546958973836e-01,1.679540086938128840e-01,3.487972772128735133e-01
1.100000000000000089e+00,6.982072121482197913e-01,1.722722451681129585e-01,1.596628256148229230e-01,3.417358932900340096e-01
1.200000000000000178e+00,7.060006746174268821e-01,1.648551672180186556e-01,1.538461566454463747e-01,3.361355534207507989e-01
1.300000000000000044e+00,7.149450334251346018e-01,1.579707913951688136e-01,1.463198264519805225e-01,3.317028952532188879e-01
1.400000000000000133e+00,7.245143819929876772e-01,1.539588334404883851e-01,1.411224425642250979e-01,3.283610767805269504e-01
1.500000000000000000e+00,7.338891294935141474e-01,1.518134089176413348e-01,1.413937418697779613e-01,3.263692993545587173e-01
1.600000000000000089e+00,7.440047777769746018e-01,1.512551508782893628e-01,1.408307589809938143e-01,3.245727774839965996e-01
1.700000000000000178e+00,7.583193788906322785e-01,1.534300313771166935e-01,1.430160328275075776e-01,3.258165524168855076e-01
1.800000000000000044e+00,7.699534978473383529e-01,1.577067225508725357e-01,1.458942210749311907e-01,3.307185058538135158e-01
1.900000000000000133e+00,7.821941228070451446e-01,1.638231887338330028e-01,1.529513631924773465e-01,3.376379031349845405e-01
2.000000000000000000e+00,7.949087751344329211e-01,1.702597232923135362e-01,1.589324900318840605e-01,3.444067846261046895e-01
2.100000000000000089e+00,8.096482845222336966e-01,1.742978252281837392e-01,1.609540812270440213e-01,3.498813430355143250e-01
2.200000000000000178e+00,8.229768871180253020e-01,1.769497356376648900e-01,1.648203491668290277e-01,3.553726846156213814e-01
2.300000000000000266e+00,8.334812036458003615e-01,1.785490587856759237e-01,1.655088456598181323e-01,3.585016735153849776e-01
