Theta,angle_crystal (S-P-S),angle_glass (S-P-S),angle_glass-ceramic (S-P-S)
111.06,1977,1994,2080
111.42,1843,2018,1973
111.78,1650,1785,1840
112.14,1600,1734,1754
112.5,1557,1682,1602
112.86,1430,1618,1594
113.22,1369,1518,1514
113.58,1261,1410,1364
113.94,1109,1328,1331
114.3,1092,1192,1253
114.66,1051,1077,1096
115.02,982,973,1063
115.38,905,988,1002
115.74,869,816,902
116.1,799,799,789
116.46,716,729,695
116.82,669,676,625
117.18,637,563,586
117.54,583,508,505
117.9,524,457,475
118.26,497,412,418
118.62,486,348,378
118.98,397,305,303
119.34,364,268,252
119.7,343,228,247
120.06,304,209,199
120.42,255,150,165
120.78,214,138,152
121.14,194,115,135
121.5,168,107,95
121.86,102,86,78
122.22,120,83,58
122.58,98,61,66
122.94,80,50,55
123.3,54,54,40
123.66,46,31,29
124.02,33,34,30
124.38,28,30,26
124.74,23,22,17
125.1,15,16,15
125.46,10,19,18
125.82,14,22,10
126.18,10,11,7
126.54,10,13,7
126.9,4,8,5
127.26,1,7,7
127.62,2,5,2
127.98,2,2,2
128.34,0,0,4
128.7,1,5,1
129.06,1,0,1
129.42,0,1,0
129.78,0,3,1
130.14,0,3,0
130.5,1,1,0
130.86,0,1,0
131.22,0,0,0
131.58,0,0,0
131.94,0,0,0
132.3,0,0,1
132.66,0,0,0
133.02,0,0,0
133.38,0,0,0
133.74,0,0,0
134.1,0,1,0
134.46,0,0,0
134.82,0,0,0
135.18,0,0,0
135.54,0,0,0
135.9,0,0,0
136.26,0,0,0
136.62,0,0,0
136.98,0,0,0
137.34,0,0,0
137.7,0,0,0
138.06,0,0,0
138.42,0,0,0
138.78,0,0,0
139.14,0,0,0
139.5,0,0,0
139.86,0,0,0
140.22,0,0,0
140.58,0,0,0
140.94,0,0,0
141.3,0,0,0
141.66,0,0,0
142.02,0,0,0
142.38,0,0,0
142.74,0,0,0
143.1,0,0,0
143.46,0,0,0
143.82,0,0,0
144.18,0,0,0
144.54,0,0,0
144.9,0,0,0
145.26,0,0,0
145.62,0,0,0
145.98,0,0,0
146.34,0,0,0
146.7,0,0,0
147.06,0,0,0
147.42,0,0,0
147.78,0,0,0
148.14,0,0,0
148.5,0,0,0
148.86,0,0,0
149.22,0,0,0
149.58,0,0,0
149.94,0,0,0
150.3,0,0,0
150.66,0,0,0
151.02,0,0,0
151.38,0,0,0
151.74,0,0,0
152.1,0,0,0
152.46,0,0,0
152.82,0,0,0
153.18,0,0,0
153.54,0,0,0
153.9,0,0,0
154.26,0,0,0
154.62,0,0,0
154.98,0,0,0
155.34,0,0,0
155.7,0,0,0
156.06,0,0,0
156.42,0,0,0
156.78,0,0,0
157.14,0,0,0
157.5,0,0,0
157.86,0,0,0
158.22,0,0,0
158.58,0,0,0
158.94,0,0,0
159.3,0,0,0
159.66,0,0,0
160.02,0,0,0
160.38,0,0,0
160.74,0,0,0
161.1,0,0,0
161.46,0,0,0
161.82,0,0,0
162.18,0,0,0
162.54,0,0,0
162.9,0,0,0
163.26,0,0,0
163.62,0,0,0
163.98,0,0,0
164.34,0,0,0
164.7,0,0,0
165.06,0,0,0
165.42,0,0,0
165.78,0,0,0
166.14,0,0,0
166.5,0,0,0
166.86,0,0,0
167.22,0,0,0
167.58,0,0,0
167.94,0,0,0
168.3,0,0,0
168.66,0,0,0
169.02,0,0,0
169.38,0,0,0
169.74,0,0,0
170.1,0,0,0
170.46,0,0,0
170.82,0,0,0
171.18,0,0,0
171.54,0,0,0
171.9,0,0,0
172.26,0,0,0
172.62,0,0,0
