center_ps,D_cm2_s_fit2to8ps
1.000000000000000000e+01,2.654913711131133892e-06
3.000000000000000000e+01,2.228846812651448520e-06
5.000000000000000000e+01,1.665424097555824958e-06
7.000000000000000000e+01,1.783421875718589708e-06
