center_ps,D_cm2_s_fit2to8ps
1.000000000000000000e+01,6.603379290228909601e-07
3.000000000000000000e+01,8.456687233132365440e-07
5.000000000000000000e+01,6.166182800845871250e-07
7.000000000000000000e+01,1.151273698526221739e-06
