center_ps,D_cm2_s_fit2to8ps
1.000000000000000000e+01,6.022422865632296934e-07
3.000000000000000000e+01,-2.380723186412455695e-08
5.000000000000000000e+01,7.382112342677513436e-08
7.000000000000000000e+01,8.317181455138569645e-07
