center_ps,D_cm2_s_fit2to8ps
1.000000000000000000e+01,5.767719434646975245e-07
3.000000000000000000e+01,2.103536550730007385e-07
5.000000000000000000e+01,7.816952454978216462e-09
7.000000000000000000e+01,8.739763434456418912e-07
