neighbour_count,atom_frame_fraction
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,5.208333333333333261e-04
4.000000000000000000e+00,8.541666666666666852e-02
5.000000000000000000e+00,4.718749999999999889e-01
6.000000000000000000e+00,4.322916666666666852e-01
7.000000000000000000e+00,9.895833333333332871e-03
