setting_0MTTK_1NHC,lag_lo_ps,lag_hi_ps,diagnostic_Ea_eV
0.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+01,5.333980107377721547e-01
0.000000000000000000e+00,1.000000000000000000e+01,3.000000000000000000e+01,6.609371349912881444e-01
0.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+01,7.694030897348450582e-01
1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+01,2.195757337670477816e-01
1.000000000000000000e+00,1.000000000000000000e+01,3.000000000000000000e+01,3.245291461118441911e-01
1.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+01,2.803464687216309370e-01
