r,gr_crystal (Li-S),gr_glass (Li-S),gr_glass-ceramic (Li-S),nr_crystal (Li-S),nr_glass (Li-S),nr_glass-ceramic (Li-S)
3.059375,0.21061,0.446136,0.297431,4.125553,4.223781,4.259231
3.065625,0.184989,0.428997,0.306799,4.129138,4.231321,4.264508
3.071875,0.207448,0.425728,0.33114,4.132709,4.238715,4.270104
3.078125,0.235503,0.420961,0.311808,4.136757,4.246069,4.275765
3.084375,0.223038,0.428338,0.30308,4.140963,4.253477,4.281202
3.090625,0.193474,0.376862,0.272116,4.144799,4.260527,4.286307
3.096875,0.204113,0.38435,0.293234,4.148477,4.26722,4.291347
3.103125,0.253048,0.388785,0.292054,4.152723,4.274045,4.296585
3.109375,0.229377,0.360416,0.289412,4.15722,4.280686,4.30181
3.115625,0.221407,0.399022,0.286789,4.16144,4.287445,4.307008
3.121875,0.231758,0.401858,0.288556,4.165699,4.294601,4.31222
3.128125,0.236428,0.40614,0.272889,4.170117,4.30185,4.317326
3.134375,0.248027,0.394262,0.25879,4.174707,4.309059,4.32218
3.140625,0.245653,0.376636,0.259201,4.179403,4.31603,4.326929
3.146875,0.272326,0.364964,0.276818,4.18435,4.322762,4.331863
3.153125,0.271247,0.372208,0.248578,4.189561,4.329482,4.336717
3.159375,0.261946,0.362081,0.253288,4.194694,4.336202,4.341373
3.165625,0.280038,0.330479,0.297644,4.199932,4.342564,4.346506
3.171875,0.292542,0.359233,0.235766,4.205487,4.348926,4.351493
3.178125,0.28326,0.350694,0.292494,4.211096,4.3555,4.356453
3.184375,0.299699,0.393338,0.301152,4.216797,4.362418,4.362048
3.190625,0.298526,0.336636,0.226027,4.22267,4.369231,4.367035
3.196875,0.32281,0.417038,0.301581,4.228794,4.376294,4.372048
3.203125,0.313546,0.392957,0.246416,4.23509,4.383913,4.377273
3.209375,0.26448,0.341102,0.303374,4.240831,4.390844,4.382537
3.215625,0.297874,0.323067,0.222526,4.24644,4.397141,4.38759
3.221875,0.337601,0.339847,0.258607,4.252802,4.40345,4.392233
3.228125,0.329727,0.350968,0.242614,4.259508,4.410051,4.397088
3.234375,0.316677,0.34686,0.234888,4.26603,4.416744,4.401731
3.240625,0.331099,0.340039,0.238041,4.27259,4.423358,4.406347
3.246875,0.306452,0.341463,0.231736,4.279072,4.429945,4.41095
3.253125,0.350549,0.338792,0.242926,4.285778,4.436545,4.415619
3.259375,0.351783,0.382222,0.264724,4.292974,4.443569,4.420633
3.265625,0.315779,0.37941,0.257052,4.299839,4.451016,4.425805
3.271875,0.349101,0.333575,0.274646,4.306704,4.458014,4.431096
3.278125,0.355414,0.353743,0.22073,4.314006,4.464786,4.436043
3.284375,0.34391,0.316357,0.259392,4.321281,4.471413,4.440858
3.290625,0.384325,0.35638,0.251849,4.328887,4.478093,4.446003
3.296875,0.337529,0.345756,0.275723,4.336453,4.48509,4.451334
3.303125,0.361346,0.34313,0.236929,4.343807,4.491982,4.456532
3.309375,0.373732,0.345779,0.28402,4.351572,4.4989,4.461836
3.315625,0.400965,0.364124,0.23773,4.359786,4.506056,4.467167
3.321875,0.369684,0.378413,0.2304,4.367987,4.513569,4.471969
3.328125,0.444923,0.343194,0.264158,4.376691,4.520897,4.477061
3.334375,0.429712,0.361335,0.281054,4.386069,4.52808,4.482696
3.340625,0.396213,0.349662,0.296549,4.394958,4.535355,4.488688
3.346875,0.383736,0.410059,0.272619,4.403384,4.543159,4.494614
3.353125,0.35065,0.390603,0.257707,4.411347,4.551413,4.500157
3.359375,0.426979,0.370012,0.266818,4.419813,4.559283,4.505659
3.365625,0.387931,0.396605,0.295922,4.428715,4.567246,4.511585
3.371875,0.412983,0.397669,0.262345,4.437498,4.575527,4.517485
3.378125,0.453442,0.369701,0.267598,4.447035,4.583556,4.523106
3.384375,0.38484,0.34948,0.295132,4.456294,4.591109,4.529098
3.390625,0.452486,0.383263,0.287867,4.46558,4.598834,4.535328
3.396875,0.404554,0.37811,0.283116,4.475117,4.606889,4.541453
3.403125,0.477537,0.371749,0.278398,4.484971,4.614852,4.547498
3.409375,0.453411,0.362955,0.268825,4.495408,4.622683,4.55341
3.415625,0.468181,0.390015,0.271494,4.505778,4.630738,4.55927
3.421875,0.448936,0.378754,0.26929,4.516135,4.638992,4.565156
3.428125,0.464773,0.340617,0.297316,4.526492,4.646744,4.571347
3.434375,0.466565,0.400418,0.299847,4.537088,4.65476,4.577895
3.440625,0.469497,0.364906,0.322756,4.547776,4.663067,4.584746
3.446875,0.497753,0.403578,0.328759,4.55886,4.67144,4.591942
3.453125,0.464956,0.419025,0.283497,4.569932,4.680434,4.598728
3.459375,0.451838,0.389838,0.303837,4.580514,4.68931,4.605262
3.465625,0.492382,0.387235,0.328759,4.591453,4.697868,4.612326
3.471875,0.455405,0.414511,0.295762,4.602471,4.706731,4.619323
3.478125,0.483191,0.390408,0.314659,4.613424,4.715659,4.626188
3.484375,0.472439,0.442378,0.32757,4.624614,4.724932,4.633437
3.490625,0.434796,0.480975,0.305416,4.635275,4.735249,4.640606
3.496875,0.472426,0.394475,0.319425,4.645977,4.745064,4.647709
3.503125,0.484128,0.408322,0.309027,4.657299,4.754098,4.654879
3.509375,0.465732,0.410376,0.345986,4.668582,4.763344,4.662379
3.515625,0.479583,0.400764,0.328668,4.679852,4.772537,4.67013
