material,replica,n_frames,n_Li,fit_lo_ps,fit_hi_ps,msd_slope_A2_ps,r2,D_cm2_s,sigma_NE_mS_cm,block_std_D_cm2_s,mean_temperature_K
Li3YCl6,Li3YCl6_01,1000,144,100.0000000029977,450.0000000134896,0.0018217711601064693,0.9983651777402593,3.036285266844116e-08,0.024604188449836008,1.6197689174245928e-09,298.7149792654
Li3YCl6,Li3YCl6_02,1000,144,100.0000000029977,450.0000000134896,0.015107626048239349,0.9983300183205386,2.5179376747065583e-07,0.20704927817027408,2.7896392661548e-08,298.674350821
Li3YCl6,Li3YCl6_03,1000,144,100.0000000029977,450.0000000134896,0.0014352704144127038,0.9738801843194387,2.3921173573545065e-08,0.019621984484269134,1.0946710846622782e-08,300.77123942160006
LiNbOCl4,LiNbOCl4,1000,32,100.0000000029977,450.0000000134896,0.0032113661535869103,0.9859417797502467,5.352276922644851e-08,0.018458128347718504,1.2341817636700297e-08,298.83730362899996
