# Time-averaged data for fix msd_out
# TimeStep c_msd_li[1] c_msd_li[2] c_msd_li[3] c_msd_li[4]
119000 6.62681 6.44461 30.4602 43.5316
120000 6.82427 6.50495 29.0598 42.3891
121000 6.99492 6.44763 28.776 42.2186
122000 6.46222 6.28947 29.0941 41.8458
123000 6.21127 6.32141 30.1422 42.6749
124000 6.67864 6.64905 29.9786 43.3063
125000 6.36584 6.83635 30.7061 43.9083
126000 6.28561 6.79783 31.3456 44.429
127000 6.64012 7.46906 31.494 45.6031
128000 6.84042 7.6944 32.2411 46.7759
129000 7.01785 7.57596 31.7881 46.3819
130000 6.84508 7.19252 32.3603 46.3979
131000 7.13226 7.58195 33.3308 48.045
132000 6.82451 7.31016 31.0264 45.161
133000 6.8736 7.13135 31.8995 45.9044
134000 7.06847 7.47968 33.3779 47.9261
135000 6.88041 7.52628 34.1482 48.5549
136000 7.39774 7.27729 35.3492 50.0243
137000 7.42231 7.15336 34.8386 49.4143
138000 7.06532 7.09163 34.7891 48.9461
139000 6.72494 7.36665 37.2504 51.3419
140000 6.88178 7.14108 39.6155 53.6384
141000 6.97922 7.27617 40.0271 54.2825
142000 6.90331 7.20967 41.5929 55.7059
143000 7.05659 7.17299 42.1053 56.3349
144000 7.03757 7.23485 43.6985 57.9709
145000 6.89234 7.54779 42.8549 57.295
146000 7.19784 7.30448 44.1238 58.6261
147000 6.76684 7.26229 42.641 56.6701
148000 6.67579 7.35783 44.7399 58.7735
149000 6.79549 7.22526 45.2288 59.2496
150000 7.1036 7.45918 46.4862 61.049
151000 7.21437 7.22212 43.8901 58.3266
152000 7.31329 7.29967 42.4731 57.086
153000 7.47369 7.09423 42.2042 56.7721
154000 7.9423 7.30035 43.5753 58.818
155000 8.08013 6.70247 42.0751 56.8577
156000 8.18154 6.55405 41.9877 56.7233
157000 7.82224 6.77534 42.8697 57.4672
158000 8.15643 6.77653 42.3216 57.2546
159000 8.02916 6.63686 44.4263 59.0924
160000 7.81634 6.78634 45.1042 59.7069
161000 8.12649 6.86705 44.3107 59.3043
162000 7.96774 6.79828 43.8248 58.5908
163000 7.6277 6.99236 45.8039 60.424
164000 7.33645 6.83473 45.6109 59.7821
165000 7.25194 7.14521 46.3722 60.7693
166000 7.50995 6.76193 44.8194 59.0913
167000 7.31665 7.42232 44.5286 59.2675
168000 7.35798 7.32528 44.0568 58.74
169000 7.24098 7.56504 44.4619 59.2679
170000 7.67862 7.90514 44.7648 60.3485
171000 7.67053 7.64009 47.5254 62.836
172000 7.91266 7.96203 48.3594 64.2341
173000 7.64217 7.89931 47.9788 63.5202
174000 8.05263 8.02724 48.3154 64.3953
175000 8.30294 8.22634 50.7986 67.3279
176000 8.04863 8.56679 51.0149 67.6304
177000 8.059 8.1332 52.1267 68.3189
178000 7.89272 8.37138 52.0374 68.3015
179000 7.68552 8.03769 52.849 68.5722
180000 7.77059 8.25382 52.8388 68.8632
181000 8.45852 8.17671 53.4435 70.0787
182000 8.3632 8.50781 53.6207 70.4918
183000 8.45067 8.48445 53.3174 70.2525
184000 8.45901 8.70206 52.0822 69.2433
185000 8.43281 8.56297 51.6487 68.6444
186000 8.46128 9.09468 53.2991 70.8551
187000 8.28751 9.24974 53.0342 70.5715
188000 8.32621 8.82211 53.6428 70.7911
189000 8.60457 9.12266 53.8038 71.531
190000 7.76273 9.08592 52.8808 69.7295
191000 8.01777 8.67719 52.0126 68.7076
192000 8.29206 8.96367 53.3902 70.646
193000 7.95482 8.71981 53.3957 70.0704
194000 8.17488 8.92555 52.2024 69.3028
195000 8.35501 9.08536 54.0109 71.4513
196000 8.58982 10.0573 53.7118 72.3588
197000 8.78725 10.2183 54.7189 73.7245
198000 8.03021 9.86499 57.2391 75.1343
199000 7.70162 10.4367 55.5843 73.7226
200000 8.06622 10.6965 56.6911 75.4539
201000 8.11737 10.5891 56.7232 75.4297
202000 8.50965 11.1441 55.9509 75.6046
203000 8.43282 10.7996 55.0504 74.2829
204000 8.20564 11.0095 56.3913 75.6064
205000 8.23836 11.3367 57.1131 76.6881
206000 8.17828 11.0821 56.7201 75.9805
207000 7.69712 11.4606 55.3438 74.5015
208000 7.66206 11.7809 56.5569 75.9999
209000 7.57178 11.4726 56.674 75.7183
210000 7.76768 11.9373 56.6598 76.3648
211000 7.45051 11.024 58.683 77.1576
212000 7.37248 10.9372 57.5473 75.857
213000 7.61746 10.3438 57.4186 75.3798
214000 7.76557 10.7128 57.7237 76.2021
215000 7.27571 10.938 57.7423 75.956
216000 7.37271 10.6779 56.6435 74.6941
217000 7.38009 10.913 57.1577 75.4507
218000 7.74776 10.6184 59.1103 77.4764
219000 7.71833 10.5777 59.9733 78.2693
220000 7.42279 10.6196 62.1903 80.2327
221000 7.25225 10.2057 61.6776 79.1355
222000 7.54669 11.8712 60.8133 80.2311
223000 7.27378 10.9957 61.6259 79.8953
224000 7.74486 11.0513 62.0916 80.8877
