# Time-averaged data for fix msd_out
# TimeStep c_msd_li[1] c_msd_li[2] c_msd_li[3] c_msd_li[4]
0 4.87359e-30 5.67775e-31 6.08166e-31 6.04953e-30
1000 0.728052 1.3125 0.629079 2.66963
2000 1.2241 1.93584 1.3833 4.54324
3000 2.28463 2.39946 2.57628 7.26037
4000 4.19766 3.4403 3.90963 11.5476
5000 4.76375 4.9059 5.62973 15.2994
6000 5.60805 5.53804 5.38586 16.5319
7000 7.43061 5.23118 6.85208 19.5139
8000 9.00071 6.10365 8.65371 23.7581
9000 9.32597 6.72998 10.1573 26.2132
10000 10.037 6.15492 10.4846 26.6766
11000 9.9904 7.92638 10.4083 28.3251
12000 10.8055 7.76567 10.9723 29.5435
13000 11.7882 7.66437 11.7987 31.2512
14000 11.8278 7.45657 14.1468 33.4311
15000 13.6853 9.2553 14.0815 37.0222
16000 15.6676 9.96206 13.9109 39.5406
17000 14.453 11.7938 16.0759 42.3228
18000 16.8891 11.9827 18.0049 46.8767
19000 17.3279 10.4998 18.087 45.9147
20000 17.64 11.6071 18.5716 47.8188
21000 16.5435 12.43 19.5174 48.491
22000 17.8458 12.6282 21.9726 52.4466
23000 20.0393 13.3633 23.0499 56.4525
24000 18.5659 15.3118 22.2044 56.0821
25000 20.1466 16.7261 22.9185 59.7911
26000 20.1887 16.4207 23.6264 60.2358
27000 21.7794 18.4932 24.8733 65.146
28000 24.3413 19.1285 26.0547 69.5245
29000 23.7694 18.3514 26.085 68.2058
30000 25.1741 18.19 27.3468 70.7109
31000 25.8153 19.8843 28.732 74.4317
32000 26.5862 20.2333 28.6487 75.4683
33000 26.8436 20.1725 30.3848 77.4009
34000 27.6411 19.6084 30.3683 77.6179
35000 28.5424 21.5146 28.7929 78.8498
36000 28.48 21.4082 34.2871 84.1752
37000 28.7051 22.8733 35.8926 87.4711
38000 29.5643 23.2634 38.8702 91.6979
39000 30.4213 23.4413 36.5289 90.3916
40000 31.3125 24.1948 38.4332 93.9405
41000 32.8631 25.6505 39.4686 97.9823
42000 31.3608 24.5932 37.0175 92.9715
43000 30.07 25.2136 38.5774 93.8611
44000 30.956 25.8583 38.3136 95.1279
45000 32.3784 26.8628 35.0933 94.3344
46000 34.9713 26.2996 37.7725 99.0434
47000 36.7964 27.1725 38.3605 102.329
48000 38.8226 27.6588 39.3727 105.854
49000 39.917 27.2938 41.8631 109.074
50000 40.7452 27.9866 39.897 108.629
51000 42.0001 27.1338 41.2041 110.338
52000 44.2214 29.0817 41.5576 114.861
53000 43.5293 31.3519 42.4688 117.35
54000 42.1236 30.6648 45.3762 118.165
55000 45.3079 31.2452 47.7763 124.329
56000 44.6648 32.7281 51.9087 129.302
57000 43.2939 32.0747 53.1829 128.551
58000 44.762 33.4801 54.301 132.543
