T_K,PE_eV_atom,P_GPa,rho_g_cm3
3.600849790235997716e+02,-4.890308351915830798e+00,-8.014751882172696518e-02,2.233998435120965631e+00
3.606577012320398126e+02,-4.890109328731249150e+00,-1.711964260872999022e-01,2.233998435120965631e+00
3.590110344778398712e+02,-4.890171661165417127e+00,-2.215685313212396590e-01,2.233998435120965631e+00
3.599185672134797755e+02,-4.890361155367500601e+00,-1.216748370424666770e-01,2.233998435120965631e+00
