T_K,PE_eV_atom,P_GPa,rho_g_cm3
3.080523319710000010e+02,-4.897341193361458345e+00,9.142837476942200156e-03,2.233998435120980286e+00
3.262656978113998889e+02,-4.895478422043750832e+00,-4.509356067680798941e-02,2.233998435120980286e+00
3.362217929541999979e+02,-4.891994615008333547e+00,-4.392487537279734372e-02,2.233998435120980286e+00
3.545637158296000280e+02,-4.890938270863540716e+00,-7.577458973233000550e-02,2.233998435120980286e+00
