T_K,PE_eV_atom,P_GPa,rho_g_cm3
3.771998259285198287e+02,-4.886533301820205288e+00,-5.647645618728049793e-02,2.233998435120965631e+00
3.816397646600401004e+02,-4.887344215920619739e+00,-6.938539411945156277e-02,2.233998435120965631e+00
3.792311250180400748e+02,-4.888881352129996749e+00,-8.220187989819110683e-03,2.233998435120965631e+00
3.778587397208000880e+02,-4.891051658910624766e+00,-3.143881335446129053e-03,2.233998435120965631e+00
