T_K,PE_eV_atom,P_GPa,rho_g_cm3
3.047474354862000041e+02,-4.898008270374999640e+00,1.192114182807600502e-02,2.233998435120980286e+00
3.115516760326000281e+02,-4.898003442295833842e+00,-3.966247699385867104e-02,2.233998435120980286e+00
3.234887356388000512e+02,-4.895506026087498519e+00,4.744926809746936175e-03,2.233998435120980286e+00
3.334216576192000048e+02,-4.893975043139583647e+00,2.276493761155073958e-02,2.233998435120980286e+00
