T_K,PE_eV_atom,P_GPa,rho_g_cm3
3.401863369174598120e+02,-4.893941340600783008e+00,-2.102809248590941649e-01,2.233998435121016701e+00
3.392446286054798179e+02,-4.893836807331823913e+00,-1.848152735757233045e-01,2.233998435121016701e+00
3.397862177898796290e+02,-4.893868862107551898e+00,-2.200121446330458863e-01,2.233998435121016701e+00
3.398265150381605508e+02,-4.894202599086976413e+00,-1.288778747053813123e-01,2.233998435121016701e+00
