T_K,PE_eV_atom,P_GPa,rho_g_cm3
3.795089633199800687e+02,-4.890838251967035255e+00,-2.436867765443481715e-01,2.233998435121016701e+00
3.812600972802099477e+02,-4.892221187714167918e+00,-2.260389226174355781e-01,2.233998435121016701e+00
3.795653830783002718e+02,-4.891540159835098933e+00,-2.301979221361937777e-01,2.233998435121016701e+00
3.803601120193498559e+02,-4.894401343095879930e+00,-1.909913158430513458e-01,2.233998435121016701e+00
