T_K,PE_eV_atom,P_GPa,rho_g_cm3
3.610799432993298979e+02,-4.890802708012702560e+00,-1.016033940053744505e-01,2.233998435121016701e+00
3.595313388282199298e+02,-4.891624303143281338e+00,-1.494066158927997434e-01,2.233998435121016701e+00
3.598051882357804061e+02,-4.892389590033124236e+00,-1.521624789765191887e-01,2.233998435121016701e+00
3.617562511743499840e+02,-4.891379718098537666e+00,-3.926012329000294621e-02,2.233998435121016701e+00
