Li_O_CN,correlated_observations,mean_displacement_10ps_A2
0.000000000000000000e+00,2.796000000000000000e+03,8.178664174976159051e-01
1.000000000000000000e+00,1.798000000000000000e+03,8.162210402464098458e-01
2.000000000000000000e+00,1.264000000000000000e+03,6.392272247076351555e-01
3.000000000000000000e+00,2.050000000000000000e+02,1.051647681265956535e+00
4.000000000000000000e+00,4.800000000000000000e+01,1.186967427600284841e+00
5.000000000000000000e+00,1.000000000000000000e+00,9.802154865364853809e-01
