Li_O_CN,correlated_observations,mean_displacement_10ps_A2
0.000000000000000000e+00,3.039000000000000000e+03,1.111365002816365966e+00
1.000000000000000000e+00,1.404000000000000000e+03,1.265259363122991143e+00
2.000000000000000000e+00,1.371000000000000000e+03,8.704603964107801017e-01
3.000000000000000000e+00,2.720000000000000000e+02,9.472519734401726454e-01
4.000000000000000000e+00,2.600000000000000000e+01,1.155907550237326387e+00
