Li_O_CN,correlated_observations,mean_displacement_10ps_A2
0.000000000000000000e+00,2.743000000000000000e+03,5.451107083224528971e-01
1.000000000000000000e+00,2.220000000000000000e+03,5.475859733274068830e-01
2.000000000000000000e+00,7.720000000000000000e+02,5.836619634320885375e-01
3.000000000000000000e+00,3.330000000000000000e+02,5.976450280266782933e-01
4.000000000000000000e+00,4.400000000000000000e+01,1.103671311345839845e+00
