Li_O_CN,correlated_observations,mean_displacement_10ps_A2
0.000000000000000000e+00,2.702000000000000000e+03,1.040299752028048585e+00
1.000000000000000000e+00,2.027000000000000000e+03,8.101439607997056314e-01
2.000000000000000000e+00,1.167000000000000000e+03,7.929718928350927287e-01
3.000000000000000000e+00,1.660000000000000000e+02,1.064194171598242367e+00
4.000000000000000000e+00,4.900000000000000000e+01,2.278410757956146615e-01
5.000000000000000000e+00,1.000000000000000000e+00,2.022514832291769094e-01
