lag_ps,Li,Zr,Cl,S,O
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.472814951893099744e-01,4.247345081647593834e-02,1.183182256787792264e-01,4.169387063095898044e-02,8.570015632035453412e-02
2.000000000000000111e-01,3.274151563885526195e-01,9.125667786451177599e-02,2.262659932571443044e-01,7.630071673417292144e-02,1.321479626160281251e-01
3.000000000000000444e-01,3.793841065215364239e-01,1.297417345618157025e-01,2.988869137791433372e-01,1.098109879309632636e-01,1.742441843732456808e-01
4.000000000000000222e-01,4.238069751556645670e-01,1.655116818465209583e-01,3.544880346584193265e-01,1.330357764159937339e-01,2.019998887230274320e-01
5.000000000000000000e-01,4.532647680553145708e-01,1.895387279483697618e-01,3.901283129471272981e-01,1.504380942758999362e-01,2.235491698636563884e-01
6.000000000000000888e-01,4.732646126015325749e-01,2.090038094867789631e-01,4.181631715835784080e-01,1.627563445430708911e-01,2.398063040825997305e-01
7.000000000000000666e-01,4.892087869623980567e-01,2.225949504678916835e-01,4.375702574418542379e-01,1.722599970022240246e-01,2.516540933370464139e-01
8.000000000000000444e-01,5.004939715792978694e-01,2.318798757993780768e-01,4.519194498378473757e-01,1.794526591536023119e-01,2.604843615810487623e-01
9.000000000000000222e-01,5.097975257389788517e-01,2.381155750747569744e-01,4.625422611176701615e-01,1.850264650467541849e-01,2.669868024209243185e-01
1.000000000000000000e+00,5.195432246027705814e-01,2.419656033890307534e-01,4.695942601860013110e-01,1.881530007375339930e-01,2.705114604385953636e-01
1.100000000000000089e+00,5.235304176029764722e-01,2.427002237270825258e-01,4.711693858725500839e-01,1.893105277389044716e-01,2.726812669006523637e-01
1.200000000000000178e+00,5.265187109571114465e-01,2.406264670831190777e-01,4.680111971231760704e-01,1.877336225282635884e-01,2.707820744080112196e-01
1.300000000000000044e+00,5.269685856014066916e-01,2.368202051069087100e-01,4.617658565299398998e-01,1.845449794698924839e-01,2.672418532296283455e-01
1.400000000000000133e+00,5.278639821222179673e-01,2.323001624744132909e-01,4.558752130577048423e-01,1.811458763930516302e-01,2.630920405659805117e-01
1.500000000000000000e+00,5.298598249257182591e-01,2.276179039721529240e-01,4.503920770225683379e-01,1.778156203928209222e-01,2.601044924357710508e-01
1.600000000000000089e+00,5.297107081956968777e-01,2.228484303985303339e-01,4.447955843370930418e-01,1.744545170416806346e-01,2.565691265271037858e-01
1.700000000000000178e+00,5.298727447336147867e-01,2.191228670421930536e-01,4.407489086999237804e-01,1.715235775803516383e-01,2.534610700146868734e-01
1.800000000000000044e+00,5.303978543383783828e-01,2.165408943408258513e-01,4.384923398087458568e-01,1.691090369968819007e-01,2.511144842359233631e-01
1.900000000000000133e+00,5.322367938952913269e-01,2.149910324479455959e-01,4.378937875418537629e-01,1.671889032089247662e-01,2.494451771443550736e-01
2.000000000000000000e+00,5.363122906686725866e-01,2.141346476142886313e-01,4.384038467348641555e-01,1.663298239138616130e-01,2.489915758753816211e-01
2.100000000000000089e+00,5.394560841743752944e-01,2.138437819437467302e-01,4.393712378247238148e-01,1.659286232368170078e-01,2.492496340574594793e-01
2.200000000000000178e+00,5.419115659686007946e-01,2.143372298211524141e-01,4.410131538027398657e-01,1.663964243922122777e-01,2.502193881932626707e-01
2.300000000000000266e+00,5.436356889243645352e-01,2.147759794625090368e-01,4.422990069150593007e-01,1.672682840875097943e-01,2.517992178311068141e-01
2.400000000000000355e+00,5.458041122090598884e-01,2.153043233604069184e-01,4.433850428127074639e-01,1.680926441753852196e-01,2.526763444670647174e-01
2.500000000000000000e+00,5.468877598851975552e-01,2.158934104944185695e-01,4.439276552197738979e-01,1.688828149577090432e-01,2.543285708931679046e-01
2.600000000000000089e+00,5.499711497399567550e-01,2.164156421379423711e-01,4.447125550201788680e-01,1.698042629164915052e-01,2.558524264464997477e-01
2.700000000000000178e+00,5.505794790016480533e-01,2.169630759129980713e-01,4.462113700383918413e-01,1.707466632101563853e-01,2.574626592038915529e-01
2.800000000000000266e+00,5.524674801628141063e-01,2.173142303505592454e-01,4.471053494772561088e-01,1.717491245417648582e-01,2.585396244196755400e-01
2.900000000000000355e+00,5.546020087733046777e-01,2.177643601193332279e-01,4.478628628880367835e-01,1.719663860311821391e-01,2.590371088355066242e-01
3.000000000000000000e+00,5.569521784022597455e-01,2.181326484697204415e-01,4.486079522309753820e-01,1.721971069362060736e-01,2.596013845274715015e-01
3.100000000000000089e+00,5.589470137864752664e-01,2.186712350560642282e-01,4.497100637300207038e-01,1.727575564545747733e-01,2.602843250413194309e-01
3.200000000000000178e+00,5.622936271026038879e-01,2.200058910795921474e-01,4.521773271647770431e-01,1.741229794052261692e-01,2.620197444931805508e-01
3.300000000000000266e+00,5.658011701273153449e-01,2.216059016752580102e-01,4.548716299583471789e-01,1.752268348958115896e-01,2.637059731170274812e-01
3.400000000000000355e+00,5.676892603562952999e-01,2.232375440575936343e-01,4.568552686002596563e-01,1.760125278032603491e-01,2.646631486653701071e-01
3.500000000000000000e+00,5.696420791179649390e-01,2.246589119790775579e-01,4.589603698926542075e-01,1.763681033787010133e-01,2.651770855710084973e-01
3.600000000000000089e+00,5.716898936073079307e-01,2.258287524384482714e-01,4.608767987919483167e-01,1.767414385546082767e-01,2.656404441427100416e-01
3.700000000000000178e+00,5.736766667484397564e-01,2.270707085856097929e-01,4.631889396028609496e-01,1.772209327423932557e-01,2.665379682447903686e-01
3.800000000000000266e+00,5.761793185073851298e-01,2.280401956754385395e-01,4.655908605864504390e-01,1.777813067992923823e-01,2.676082469001095920e-01
3.900000000000000355e+00,5.778780301829510302e-01,2.289835760734791614e-01,4.679805553136313079e-01,1.782380338264536734e-01,2.685464821182376727e-01
4.000000000000000000e+00,5.790700890295543690e-01,2.301182677488322892e-01,4.706288777193513573e-01,1.786712202852626941e-01,2.696322986736566785e-01
4.100000000000000533e+00,5.821498900778339092e-01,2.313615796421037984e-01,4.731336648344396933e-01,1.795447060041138743e-01,2.711564195355340434e-01
4.200000000000000178e+00,5.849299529028476607e-01,2.328018450581837706e-01,4.750734566618094457e-01,1.804654032453836265e-01,2.727245056310594884e-01
4.299999999999999822e+00,5.859258590638419806e-01,2.348600454383456826e-01,4.776172861620235910e-01,1.820233095160043724e-01,2.747232944357137496e-01
4.400000000000000355e+00,5.885853611588623968e-01,2.368923689736702753e-01,4.803965815881949264e-01,1.833930249873504670e-01,2.765776436764484925e-01
4.500000000000000000e+00,5.913145249559714767e-01,2.388757118081243080e-01,4.837969341274512836e-01,1.847184552586009498e-01,2.786554282493383661e-01
4.600000000000000533e+00,5.933043722990833935e-01,2.404622494440127045e-01,4.860288823245269008e-01,1.858679247355610742e-01,2.799750002340025135e-01
4.700000000000000178e+00,5.940433692919947495e-01,2.416809416140747735e-01,4.880115287634283483e-01,1.867861044102955004e-01,2.814195953245284265e-01
4.800000000000000711e+00,5.949124855716645399e-01,2.426256953576357844e-01,4.900057840126747499e-01,1.876882274195235678e-01,2.822386620755888975e-01
4.900000000000000355e+00,5.966699136339786991e-01,2.431364157774031642e-01,4.910056404603690416e-01,1.885109775714367553e-01,2.834731856738502143e-01
5.000000000000000000e+00,5.975713234011891251e-01,2.432307637676402456e-01,4.910235701925395047e-01,1.890115662624611281e-01,2.842616449514587251e-01
5.100000000000000533e+00,5.999985497470149420e-01,2.430519292621003413e-01,4.916163834548341605e-01,1.890407250237392811e-01,2.848588112065701394e-01
5.200000000000000178e+00,6.014654036912270296e-01,2.427358272552191665e-01,4.916203836887401146e-01,1.891259315039751365e-01,2.848702979415468906e-01
5.300000000000000711e+00,6.024760638379694777e-01,2.423079978688273406e-01,4.915749318415901792e-01,1.891638766284847450e-01,2.849062251505855015e-01
5.400000000000000355e+00,6.021371114382281231e-01,2.421322997877931593e-01,4.913553631547960543e-01,1.893239443851940096e-01,2.852831296377624781e-01
5.500000000000000000e+00,6.031509899146368925e-01,2.422670430510723283e-01,4.916712105892923623e-01,1.894635889826194741e-01,2.855362602635950209e-01
5.600000000000000533e+00,6.050638303344314517e-01,2.427755689878189627e-01,4.927162253451414231e-01,1.897008321511871876e-01,2.859001489812741936e-01
5.700000000000000178e+00,6.057778158919175926e-01,2.434788671798189252e-01,4.939249429954801762e-01,1.901975947206938355e-01,2.867821461868389488e-01
5.800000000000000711e+00,6.073109712266243632e-01,2.443617712343904846e-01,4.953889618133775485e-01,1.906475511392902444e-01,2.878001543763650805e-01
5.900000000000000355e+00,6.083845006573056491e-01,2.452542644140874584e-01,4.973089034063267744e-01,1.907013171341662428e-01,2.887066589063017052e-01
6.000000000000000000e+00,6.102984158671989068e-01,2.457105286313914505e-01,4.990467750716618966e-01,1.908094249054888281e-01,2.892944650772056869e-01
6.100000000000000533e+00,6.109249713391784464e-01,2.461193028791058279e-01,5.000837581753238004e-01,1.909713944776356698e-01,2.899715107561449123e-01
6.200000000000000178e+00,6.114250091369852758e-01,2.465883163153866631e-01,5.005626167136286719e-01,1.913132635155417316e-01,2.902195363023281627e-01
