T_K,D_app_cm2_s,sigma_conditional_mS_cm,R2,alpha,density_g_cm3,CN_SO,CN_ZrO,CN_ZrCl,CN_LiO
3.200000000000000000e+02,1.960707564044922369e-08,4.479228035540023800e-01,7.683029660754080448e-01,7.345533248413595173e-02,1.880322502041773758e+00,4.000000000000000000e+00,1.657493781094527385e+00,4.266635572139303889e+00,8.083022388059701857e-01
3.500000000000000000e+02,2.311239007236530231e-07,4.827442849604904218e+00,9.989475126205755728e-01,3.970847606534163021e-01,1.880322502041773758e+00,4.000000000000000000e+00,1.648631840796019876e+00,4.212531094527363074e+00,8.264925373134328623e-01
