lag_ps,Li,Zr,Cl,S,O
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.596033283805918579e-01,4.506373682810438375e-02,1.267018022488149154e-01,4.409418706494185741e-02,9.000498533651868360e-02
2.000000000000000111e-01,3.431257937206130260e-01,9.788248653326929449e-02,2.446727441198514041e-01,8.282435649627821472e-02,1.434310616293159035e-01
3.000000000000000444e-01,3.962831031209168575e-01,1.405974096039895038e-01,3.281607015221232326e-01,1.217600038288470243e-01,1.927687169364732944e-01
4.000000000000000222e-01,4.446920846671814642e-01,1.818409142431392789e-01,3.962853666432004651e-01,1.491088926975410178e-01,2.265099997391933073e-01
5.000000000000000000e-01,4.819771374033877120e-01,2.113115053340927640e-01,4.433359092801895662e-01,1.698263288167938811e-01,2.538618099016762830e-01
6.000000000000000888e-01,5.090039393566664350e-01,2.362070563285340319e-01,4.823897462848589224e-01,1.852690451269183303e-01,2.732715744268279234e-01
7.000000000000000666e-01,5.313399233867166505e-01,2.556351302974102513e-01,5.114070323978457955e-01,1.976934514734040860e-01,2.887767346862374906e-01
8.000000000000000444e-01,5.484066065126592671e-01,2.700305754714789619e-01,5.347105532627679514e-01,2.075133922836276124e-01,3.011544731442558076e-01
9.000000000000000222e-01,5.626808653793016202e-01,2.805879300037872892e-01,5.530729078843590329e-01,2.141249198479753257e-01,3.103006307532840680e-01
1.000000000000000000e+00,5.729635888364152940e-01,2.874670825090404613e-01,5.663817109154062335e-01,2.179625909434138586e-01,3.163581375540112095e-01
1.100000000000000089e+00,5.813805175754254151e-01,2.909816707514788492e-01,5.754093583025812197e-01,2.201314921019805748e-01,3.197896079795785051e-01
1.200000000000000178e+00,5.882287503015035668e-01,2.918082923002988105e-01,5.802129951039110001e-01,2.200321756131657924e-01,3.208600182442696291e-01
1.300000000000000044e+00,5.955070648565191638e-01,2.901538894618156395e-01,5.814746709889778709e-01,2.186016574149561298e-01,3.202275895097582148e-01
1.400000000000000133e+00,5.992585416590362479e-01,2.869155736523369415e-01,5.807448598890481151e-01,2.156880200894573385e-01,3.184828274256546465e-01
1.500000000000000000e+00,6.020913535336570588e-01,2.828518086615404714e-01,5.789280092985724657e-01,2.123685970347347629e-01,3.156271366619394780e-01
1.600000000000000089e+00,6.048067900121153473e-01,2.786154025922085720e-01,5.766777046295252784e-01,2.087067424035297658e-01,3.129760183943271490e-01
1.700000000000000178e+00,6.080019569214391018e-01,2.747572764534016443e-01,5.751918272878664418e-01,2.055477867087729948e-01,3.110175222553014929e-01
1.800000000000000044e+00,6.112536234847700811e-01,2.714853894860428385e-01,5.743269072761982841e-01,2.028426450006938775e-01,3.090474808962408448e-01
1.900000000000000133e+00,6.149467894246257726e-01,2.690671849181178188e-01,5.740624416502959626e-01,2.008163980433597395e-01,3.079095466559050864e-01
2.000000000000000000e+00,6.202007304906629326e-01,2.675040709284969287e-01,5.745083956859827756e-01,1.997334944073306529e-01,3.077161039517095076e-01
2.100000000000000089e+00,6.245931400477653384e-01,2.667276106888059051e-01,5.757593417717068451e-01,1.994124021968537441e-01,3.082403834765683470e-01
2.200000000000000178e+00,6.288311884290075371e-01,2.674119568755818910e-01,5.790077894132426017e-01,2.000310141044246703e-01,3.101722605853518000e-01
2.300000000000000266e+00,6.347002417605548397e-01,2.692735383725810561e-01,5.836143874445064439e-01,2.019733369089152519e-01,3.133564940279294220e-01
2.400000000000000355e+00,6.397896574702723882e-01,2.714330422526555764e-01,5.879785267416000050e-01,2.045772246896001567e-01,3.171938211209432423e-01
2.500000000000000000e+00,6.457573276854194910e-01,2.738574845327331198e-01,5.925397831553168571e-01,2.072503562519551479e-01,3.215698468929992226e-01
2.600000000000000089e+00,6.519572964059918707e-01,2.762305514739774592e-01,5.972890071712571025e-01,2.095149414734905069e-01,3.248470883570103718e-01
2.700000000000000178e+00,6.566177407713171821e-01,2.784453773792878173e-01,6.023568588575615168e-01,2.113596813133580554e-01,3.279541141864178999e-01
2.800000000000000266e+00,6.609448254509803222e-01,2.810387873315562390e-01,6.081654389126593951e-01,2.133096730097328586e-01,3.310607357812077600e-01
2.900000000000000355e+00,6.655350772755590505e-01,2.835437061100379297e-01,6.132146442313836099e-01,2.154490757158868675e-01,3.343620036371634519e-01
3.000000000000000000e+00,6.702720811267952605e-01,2.855289047595524488e-01,6.176201965059751053e-01,2.170945035667557477e-01,3.366494716732281733e-01
3.100000000000000089e+00,6.728534250155692176e-01,2.871410367798437613e-01,6.220469622164093160e-01,2.183067819280613275e-01,3.388387687814364835e-01
3.200000000000000178e+00,6.755064987552324984e-01,2.885635124123172024e-01,6.264685439142823054e-01,2.195383956175057938e-01,3.408460754992209685e-01
