lag_ps,Li,Zr,Cl,S,O
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.527392463268603451e-01,4.371252804550067317e-02,1.225031847015798092e-01,4.292891736087615928e-02,8.882209542708885408e-02
2.000000000000000111e-01,3.312420831707365010e-01,9.476002156989016267e-02,2.346043092383121031e-01,7.977418064069638493e-02,1.395461930428159303e-01
3.000000000000000444e-01,3.866803833700191428e-01,1.350456726387391504e-01,3.116063486445518893e-01,1.157724495451504243e-01,1.854126029903042927e-01
4.000000000000000222e-01,4.366318857260924058e-01,1.735840187253253064e-01,3.731327360548671312e-01,1.401042960858512043e-01,2.146222739514029310e-01
5.000000000000000000e-01,4.732526466987924119e-01,1.998298769380622564e-01,4.115182129066129457e-01,1.600312001172810861e-01,2.390020815587965974e-01
6.000000000000000888e-01,5.013260993480953553e-01,2.205128055705515289e-01,4.425105813468295235e-01,1.752150422873848812e-01,2.581520103972126390e-01
7.000000000000000666e-01,5.248232029874762006e-01,2.363089105603629891e-01,4.672499865613458092e-01,1.881727519826682515e-01,2.741164577104990840e-01
8.000000000000000444e-01,5.453040733634884063e-01,2.473397973694655971e-01,4.855303521753269180e-01,1.974279541646680458e-01,2.849333543599802399e-01
9.000000000000000222e-01,5.591216559744092152e-01,2.543548565422120711e-01,4.968359518260619945e-01,2.038713945235377800e-01,2.933627542007132827e-01
1.000000000000000000e+00,5.722782558445922430e-01,2.581307255778755305e-01,5.029579925997157419e-01,2.069357859509658171e-01,2.973442706176018802e-01
1.100000000000000089e+00,5.824117481440088673e-01,2.593031005203708661e-01,5.052203383269492365e-01,2.081063937002570197e-01,2.989629302995148175e-01
1.200000000000000178e+00,5.929943494032335893e-01,2.587658747599634323e-01,5.045379331780832644e-01,2.076259971143377681e-01,2.988710609152871456e-01
1.300000000000000044e+00,5.993177953126240798e-01,2.567127241684224459e-01,5.022641911797867120e-01,2.061048990978612272e-01,2.982060603715229741e-01
1.400000000000000133e+00,6.064949680697728773e-01,2.536415308059480345e-01,4.993720512301931813e-01,2.036875940054505008e-01,2.955940416906594481e-01
1.500000000000000000e+00,6.114137602420774975e-01,2.506075569952772031e-01,4.966696102541657831e-01,2.013415115520199306e-01,2.937564282453522524e-01
1.600000000000000089e+00,6.172404361609236112e-01,2.478372157792044506e-01,4.941910251585862612e-01,1.992274023404745908e-01,2.914842472010865659e-01
1.700000000000000178e+00,6.212081108279012831e-01,2.452670987548551118e-01,4.923792857249372212e-01,1.970852901126807777e-01,2.897650829951325946e-01
