lag_ps,Li_A2,Zr_A2,Cl_A2,O_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.787211194780418455e-01,4.588400294684329139e-02,1.224570623008957720e-01,7.048563311121384956e-02
2.000000000000000111e-01,4.048528932828262539e-01,9.291623738399243382e-02,2.212929741589408084e-01,1.038269031050820385e-01
3.000000000000000444e-01,4.712268849425816919e-01,1.247978300277344799e-01,2.695952630162808394e-01,1.191652498360555590e-01
4.000000000000000222e-01,5.274488635073716347e-01,1.526465938404950873e-01,3.045122326588328709e-01,1.356644803450058334e-01
5.000000000000000000e-01,5.673687210723122876e-01,1.672739270876578421e-01,3.235142863501723753e-01,1.488792937407828754e-01
6.000000000000000888e-01,5.985375095849403415e-01,1.736908734090767126e-01,3.340311290985421011e-01,1.557248979442545367e-01
7.000000000000000666e-01,6.214042947078044499e-01,1.752323959926184449e-01,3.386223234338851529e-01,1.573236958515131234e-01
8.000000000000000444e-01,6.412148241753564681e-01,1.739189015573849306e-01,3.398454272986121683e-01,1.558083488977339282e-01
9.000000000000000222e-01,6.568266337036677838e-01,1.709561633042552264e-01,3.400527842198708961e-01,1.540447558416266627e-01
1.000000000000000000e+00,6.691277018319734537e-01,1.670177589476235236e-01,3.381228435316246950e-01,1.500233156322718087e-01
1.100000000000000089e+00,6.774749798153734126e-01,1.628032989049313650e-01,3.354709957011386967e-01,1.454559354044659136e-01
1.200000000000000178e+00,6.877261979422267801e-01,1.589016610781072703e-01,3.328546251214087315e-01,1.427022583703612957e-01
1.300000000000000044e+00,6.982869481559998981e-01,1.558858277042335927e-01,3.318695528225707458e-01,1.394866632957333097e-01
1.400000000000000133e+00,7.071386437170817940e-01,1.536599510543064095e-01,3.310214036715726782e-01,1.368640325239021405e-01
1.500000000000000000e+00,7.152067230038038348e-01,1.520958559556280787e-01,3.296661077949705199e-01,1.360483532099314163e-01
1.600000000000000089e+00,7.238449819429908505e-01,1.513609509401939168e-01,3.295141600920697966e-01,1.355837102643265013e-01
1.700000000000000178e+00,7.341321901592382515e-01,1.524353046332128092e-01,3.312674484022936627e-01,1.363466206985394225e-01
1.800000000000000044e+00,7.446365461605982672e-01,1.549413741195864169e-01,3.349356765074679165e-01,1.383949401940194057e-01
1.900000000000000133e+00,7.548420082594722302e-01,1.583102984413123360e-01,3.398130958753267650e-01,1.409009245886427841e-01
2.000000000000000000e+00,7.672885532991662316e-01,1.620385492954102002e-01,3.450797806670039547e-01,1.441457369457836424e-01
2.100000000000000089e+00,7.786009968360904088e-01,1.655260347973498414e-01,3.502753529492925733e-01,1.468975546159743684e-01
2.200000000000000178e+00,7.905614830285868644e-01,1.683337695674332612e-01,3.552341335673194767e-01,1.487677251718713678e-01
2.300000000000000266e+00,8.017532299216219016e-01,1.702475536308412363e-01,3.598027450648806358e-01,1.501874963532943696e-01
2.400000000000000355e+00,8.102170565400271807e-01,1.712128155438132904e-01,3.628997060193134838e-01,1.507765622867519584e-01
2.500000000000000000e+00,8.200192940532944341e-01,1.717251159780616432e-01,3.642734477616497157e-01,1.508971610990207934e-01
2.600000000000000089e+00,8.271813942824306487e-01,1.721571065629712571e-01,3.653070176512795975e-01,1.502903288421030825e-01
2.700000000000000178e+00,8.354111498592161622e-01,1.725098262756418477e-01,3.665340608723986482e-01,1.508182110010220511e-01
2.800000000000000266e+00,8.439000744068094750e-01,1.729033212192329083e-01,3.681920292734213729e-01,1.506126260532524019e-01
2.900000000000000355e+00,8.524764772613357966e-01,1.730657461982485490e-01,3.704640919453396908e-01,1.502846362676872882e-01
3.000000000000000000e+00,8.599003186185779635e-01,1.731702932016246088e-01,3.718026920990621931e-01,1.505271863517322339e-01
3.100000000000000089e+00,8.666148407879196158e-01,1.735254716674217990e-01,3.723843067818669583e-01,1.506349699251828544e-01
3.200000000000000178e+00,8.740709219817396347e-01,1.743511160615358879e-01,3.738207475863862816e-01,1.517058531768583907e-01
3.300000000000000266e+00,8.813497220537728216e-01,1.752089680894637624e-01,3.756356214164320306e-01,1.523738973611362957e-01
3.400000000000000355e+00,8.890220421739429835e-01,1.761292719737275192e-01,3.775346598413088506e-01,1.527690967390340770e-01
3.500000000000000000e+00,8.969019425120201561e-01,1.770354118222172424e-01,3.797404506774323951e-01,1.533396465147502108e-01
3.600000000000000089e+00,9.038128499950779382e-01,1.775622547075223490e-01,3.811067053160585028e-01,1.540598240684883102e-01
3.700000000000000178e+00,9.098984997067302016e-01,1.775374490284151729e-01,3.812925584244797328e-01,1.542858718014516739e-01
3.800000000000000266e+00,9.157930969172395352e-01,1.775988122452000773e-01,3.820080467393288659e-01,1.538880133637311187e-01
3.900000000000000355e+00,9.228114601449540766e-01,1.780833837184653823e-01,3.833677984373240477e-01,1.539550782927342487e-01
4.000000000000000000e+00,9.287451398884508658e-01,1.784616889949028895e-01,3.854740583305100721e-01,1.543824878440993864e-01
4.100000000000000533e+00,9.354384479472993563e-01,1.791699977274476274e-01,3.875477120747244930e-01,1.542333445666029257e-01
4.200000000000000178e+00,9.419427648282571175e-01,1.800509073450413389e-01,3.899685634456908079e-01,1.552137621784674681e-01
4.299999999999999822e+00,9.498587725591222108e-01,1.812545164590532998e-01,3.925884811601424440e-01,1.555389511187440787e-01
4.400000000000000355e+00,9.559574133579101796e-01,1.820012925179810837e-01,3.950942338442381963e-01,1.563767855145112018e-01
4.500000000000000000e+00,9.633015775015073556e-01,1.824299323809517037e-01,3.969403950138498116e-01,1.575348422476020582e-01
4.600000000000000533e+00,9.681995500301672219e-01,1.830614353586910992e-01,3.984347364310913409e-01,1.584528161518543865e-01
4.700000000000000178e+00,9.751894597898340677e-01,1.840440011792618680e-01,3.998950425701792155e-01,1.582926361647792046e-01
4.800000000000000711e+00,9.824427262587792642e-01,1.850237876938009840e-01,4.022000444684598608e-01,1.587295608466439967e-01
4.900000000000000355e+00,9.911632896117686942e-01,1.857447727910538360e-01,4.044075900935507062e-01,1.598548364934112287e-01
5.000000000000000000e+00,1.000884043685905445e+00,1.861097812682316610e-01,4.059648282377861794e-01,1.599278964391519509e-01
5.100000000000000533e+00,1.008910355729212949e+00,1.867662293222601411e-01,4.074064016313396763e-01,1.606589075832818014e-01
5.200000000000000178e+00,1.015417854060988168e+00,1.873886305754292880e-01,4.085685238017979781e-01,1.608226146493429154e-01
5.300000000000000711e+00,1.022638829242774161e+00,1.877815834674881335e-01,4.100024436539986272e-01,1.617400396184308642e-01
5.400000000000000355e+00,1.031115837646033428e+00,1.882015423089527240e-01,4.122696613129254728e-01,1.618215197030416497e-01
5.500000000000000000e+00,1.039026327892004664e+00,1.889637138060906441e-01,4.150666226165878325e-01,1.620474428836936043e-01
5.600000000000000533e+00,1.046016158953982034e+00,1.898283869584465322e-01,4.178086521892445671e-01,1.628115849865889864e-01
5.700000000000000178e+00,1.051746988540030792e+00,1.906734275823363245e-01,4.198309423731984014e-01,1.631498063064964754e-01
5.800000000000000711e+00,1.058262824186444240e+00,1.913380773732326623e-01,4.214531766155836801e-01,1.632502226243051080e-01
5.900000000000000355e+00,1.065714906530690120e+00,1.923577427144808893e-01,4.234899245600963757e-01,1.631287545345383727e-01
6.000000000000000000e+00,1.072457386847602390e+00,1.938413555644740438e-01,4.257850292765443800e-01,1.641405666431584309e-01
6.100000000000000533e+00,1.078018514682348217e+00,1.946901545019724955e-01,4.271988351850357080e-01,1.648450240031962555e-01
6.200000000000000178e+00,1.083877210533315205e+00,1.949865944217811786e-01,4.283893956359777211e-01,1.647669236950909388e-01
6.300000000000000711e+00,1.089254632728047456e+00,1.953137897765835074e-01,4.295450879017004286e-01,1.653426049193623959e-01
6.400000000000000355e+00,1.094265223325914249e+00,1.955799122808843382e-01,4.307845842704464689e-01,1.655665939422593935e-01
6.500000000000000000e+00,1.100477064765411184e+00,1.961457103886299069e-01,4.320502615083240405e-01,1.657074394626199820e-01
6.600000000000000533e+00,1.106549465381768238e+00,1.964724599618374590e-01,4.338519759646408125e-01,1.662495738427821057e-01
6.700000000000000178e+00,1.112725515161808953e+00,1.966372660421229213e-01,4.355284711320100421e-01,1.661216637360774795e-01
6.800000000000000711e+00,1.119194379114223592e+00,1.965812319039759448e-01,4.366158401937177969e-01,1.662995029975895267e-01
6.900000000000000355e+00,1.125999063118634291e+00,1.965872885139889892e-01,4.376131031904836322e-01,1.660176033764755033e-01
7.000000000000000000e+00,1.132901892178074688e+00,1.969460827151497950e-01,4.389027317423080388e-01,1.666544396002482276e-01
7.100000000000000533e+00,1.137827017898162651e+00,1.980184138361762158e-01,4.410844644863030073e-01,1.672157186005311102e-01
7.200000000000000178e+00,1.142757115534756895e+00,1.990784912177305521e-01,4.429420665064685569e-01,1.679685656031851826e-01
7.300000000000000711e+00,1.148553941256681643e+00,1.999358126201546404e-01,4.447605315778268564e-01,1.688680637069902013e-01
7.400000000000000355e+00,1.156367392166307573e+00,2.011640583264489024e-01,4.467520919940992097e-01,1.701070346749190554e-01
7.500000000000000000e+00,1.162657360433607900e+00,2.022335597826625253e-01,4.489315669414115639e-01,1.705917083892308506e-01
7.600000000000000533e+00,1.169059034139372732e+00,2.030290721677213972e-01,4.509503727681861696e-01,1.713932823902818980e-01
7.700000000000000178e+00,1.174592448656846866e+00,2.034532845506632770e-01,4.523529965081552473e-01,1.706918715883184168e-01
7.800000000000000711e+00,1.179657136376540016e+00,2.036672857091727240e-01,4.530805436335239023e-01,1.704244240249101761e-01
7.900000000000000355e+00,1.185436018237742806e+00,2.040484505660635495e-01,4.546458904853137861e-01,1.697514333838107126e-01
