lag_ps,Li_A2,Zr_A2,Cl_A2,O_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,3.064621881507392787e-01,4.882339404684196693e-02,1.292006718412240518e-01,7.295865405269735815e-02
2.000000000000000111e-01,4.191702032725675431e-01,9.838384525388974011e-02,2.332314368702557705e-01,1.073941321519120695e-01
3.000000000000000444e-01,4.793943641154467805e-01,1.320924127356958577e-01,2.818913225863354799e-01,1.243652077608200374e-01
4.000000000000000222e-01,5.237262513926544960e-01,1.610051973275615778e-01,3.139615174919562768e-01,1.403581617461471809e-01
5.000000000000000000e-01,5.599027915833343361e-01,1.738185617379925108e-01,3.290189580101354205e-01,1.538615363421660387e-01
6.000000000000000888e-01,5.844198835584153429e-01,1.778551124666725436e-01,3.356368693158497951e-01,1.611616037732267748e-01
7.000000000000000666e-01,5.985455566225243995e-01,1.767125285468628682e-01,3.336254672081535588e-01,1.582175949707991247e-01
8.000000000000000444e-01,6.070100687056166899e-01,1.737637241649847564e-01,3.307210318702576424e-01,1.564592062328230004e-01
9.000000000000000222e-01,6.142623353121637875e-01,1.690646769497954061e-01,3.268463340260989169e-01,1.536045925158324166e-01
1.000000000000000000e+00,6.162369000029589428e-01,1.628050566562194434e-01,3.195572167376036776e-01,1.481943638887967263e-01
1.100000000000000089e+00,6.183396404969880855e-01,1.561313062959443221e-01,3.127698316866097672e-01,1.419729121910123237e-01
1.200000000000000178e+00,6.199491860386432407e-01,1.511636304298030198e-01,3.078141211505421859e-01,1.379147684245671246e-01
1.300000000000000044e+00,6.230205997493587500e-01,1.466575589160483972e-01,3.037734865233422399e-01,1.336324870311285384e-01
1.400000000000000133e+00,6.272853212024737113e-01,1.435293852655392666e-01,3.008670685804648026e-01,1.309839941110575723e-01
1.500000000000000000e+00,6.322537695726840878e-01,1.413885129619782965e-01,2.983900109248460719e-01,1.293475965123441485e-01
1.600000000000000089e+00,6.360086268985594149e-01,1.405274364438877654e-01,2.971581335430425463e-01,1.297547386621576426e-01
1.700000000000000178e+00,6.414194861744720866e-01,1.416083375477612816e-01,2.976155288046339886e-01,1.304281929499889470e-01
1.800000000000000044e+00,6.472253693498828397e-01,1.437344268972634564e-01,2.997224577039360738e-01,1.322817003127886026e-01
1.900000000000000133e+00,6.544632717152650825e-01,1.465219242688447499e-01,3.034548747542034075e-01,1.356059030644512220e-01
2.000000000000000000e+00,6.626940171496359389e-01,1.494397203853003453e-01,3.075757554673276273e-01,1.378773523908763399e-01
2.100000000000000089e+00,6.700442996306227306e-01,1.520953572186679315e-01,3.115945873671226440e-01,1.405991827226140967e-01
2.200000000000000178e+00,6.755759797521808663e-01,1.539543394600350890e-01,3.142709128096096705e-01,1.418116447534643609e-01
2.300000000000000266e+00,6.798433317083331096e-01,1.549744499942241061e-01,3.160400782859528745e-01,1.418843633695781870e-01
2.400000000000000355e+00,6.837239675309429998e-01,1.554420259764875689e-01,3.174209234317324491e-01,1.424207904710983741e-01
2.500000000000000000e+00,6.887649563506106354e-01,1.555329495771831383e-01,3.175406326757125308e-01,1.426989621569579592e-01
2.600000000000000089e+00,6.915868033561273220e-01,1.549714451801904869e-01,3.170857389756619460e-01,1.418814773215827940e-01
2.700000000000000178e+00,6.949649724454227684e-01,1.549210050467444422e-01,3.174751641334603858e-01,1.415587283627168513e-01
2.800000000000000266e+00,6.995507510252392258e-01,1.555274869021990025e-01,3.183553903080834080e-01,1.415766238632600871e-01
2.900000000000000355e+00,7.006963280648104142e-01,1.561086562714908144e-01,3.191700944208541446e-01,1.418659960173324353e-01
3.000000000000000000e+00,7.028291760042315595e-01,1.566675726019042814e-01,3.206056481411358461e-01,1.421872905375956286e-01
3.100000000000000089e+00,7.062266064392871412e-01,1.566080782890453826e-01,3.217705878700370947e-01,1.421349141426129781e-01
3.200000000000000178e+00,7.061580491333028231e-01,1.561696448225302347e-01,3.211653321254379079e-01,1.419202636606372026e-01
3.300000000000000266e+00,7.074045853666138806e-01,1.562501788116715529e-01,3.205941174401529259e-01,1.421733660584920955e-01
3.400000000000000355e+00,7.085383397111904014e-01,1.560433879823111825e-01,3.201339710916932257e-01,1.415665351169982378e-01
3.500000000000000000e+00,7.113547419991911314e-01,1.554589768271653627e-01,3.195123506457182572e-01,1.403250569400318337e-01
3.600000000000000089e+00,7.139276282181739042e-01,1.549626450050183013e-01,3.193474455980762627e-01,1.407884469524977034e-01
3.700000000000000178e+00,7.169468574443133013e-01,1.547101635426426647e-01,3.190563014583960855e-01,1.412672802583002374e-01
3.800000000000000266e+00,7.179638884449401903e-01,1.546882096463197964e-01,3.189220230923792698e-01,1.412465025652929751e-01
3.900000000000000355e+00,7.212376960030971729e-01,1.552041991804404830e-01,3.200368559754678821e-01,1.409686852433392756e-01
4.000000000000000000e+00,7.253670167989274553e-01,1.560747359622643993e-01,3.218067334655000389e-01,1.417144875175521679e-01
4.100000000000000533e+00,7.302787083285018355e-01,1.570161990137140251e-01,3.242821399042641883e-01,1.428812619773009995e-01
4.200000000000000178e+00,7.338771776916637180e-01,1.576526341542700549e-01,3.260878425259347013e-01,1.435467749769861745e-01
4.299999999999999822e+00,7.353029450002244172e-01,1.580471224471166891e-01,3.267473461813402702e-01,1.431991872809317834e-01
4.400000000000000355e+00,7.385746164492289489e-01,1.579018469238122613e-01,3.261746934853534952e-01,1.433647357051454352e-01
4.500000000000000000e+00,7.401243917669412253e-01,1.577780590944891648e-01,3.257239243666849027e-01,1.427687516028988968e-01
4.600000000000000533e+00,7.436931856303915511e-01,1.578920800937926583e-01,3.260741053563728231e-01,1.428738847163642522e-01
