CN,LiO,LiCl,ZrO,ZrCl
0.000000000000000000e+00,8.165959453088166287e-01,0.000000000000000000e+00,2.083333333333333426e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.834040546911833991e-01,0.000000000000000000e+00,4.583333333333333148e-01,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.666666666666666574e-01,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,1.791607732201791481e-02,1.250000000000000000e-01,8.333333333333332871e-02
4.000000000000000000e+00,0.000000000000000000e+00,2.732201791607732355e-01,4.166666666666666435e-02,1.287128712871287162e-01
5.000000000000000000e+00,0.000000000000000000e+00,4.778406412069778342e-01,0.000000000000000000e+00,5.375412541254125376e-01
6.000000000000000000e+00,0.000000000000000000e+00,2.305516265912305462e-01,0.000000000000000000e+00,2.504125412541254314e-01
7.000000000000000000e+00,0.000000000000000000e+00,4.714757190004714737e-04,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
