r_A,P10_Ainv,P40_Ainv,P80_Ainv
5.000000000000000278e-02,3.512746015331330574e-02,2.288497098185679479e-02,1.795720559918651330e-02
1.500000000000000222e-01,2.303803286223141400e-01,1.462807345160286321e-01,1.171545401440903383e-01
2.500000000000000000e-01,5.240393296236107723e-01,3.479430988081505527e-01,2.615694164989939008e-01
3.500000000000000333e-01,8.002987475583134280e-01,5.511616411270391369e-01,4.369226109344238607e-01
4.500000000000000111e-01,9.678928448318315780e-01,6.827044543307519975e-01,5.536444473291362023e-01
5.500000000000000444e-01,9.963723510776242298e-01,7.362552864282960741e-01,5.965902944549009712e-01
6.500000000000001332e-01,9.255429162357809991e-01,7.301221142051593782e-01,5.969148222669350412e-01
7.500000000000000000e-01,7.978365424073802226e-01,6.662272752238151963e-01,5.683563748079878408e-01
8.500000000000000888e-01,6.637284351865533338e-01,5.834752201534210148e-01,4.994483027195432134e-01
9.499999999999999556e-01,5.347909587826858990e-01,5.019131835740833214e-01,4.421150559269597102e-01
1.050000000000000044e+00,4.346612826447362465e-01,4.243789018875520069e-01,3.737478635252371451e-01
1.150000000000000133e+00,3.526698511186616147e-01,3.578294062723125779e-01,3.159819129832757700e-01
1.250000000000000000e+00,2.862723855484975988e-01,2.955822852016627422e-01,2.785530386620803656e-01
1.350000000000000089e+00,2.408036637612643860e-01,2.576847732557073223e-01,2.499945912031325546e-01
1.450000000000000178e+00,2.178230823525552362e-01,2.226249977115032086e-01,2.142965318794490259e-01
1.550000000000000044e+00,1.870455179658900846e-01,1.999231064975007799e-01,1.880097791047357914e-01
1.650000000000000133e+00,1.607819963559362353e-01,1.813405100602331066e-01,1.828173341121999140e-01
1.750000000000000000e+00,1.492917056515817575e-01,1.690741656139582161e-01,1.690789900694491810e-01
1.850000000000000089e+00,1.416588696836885986e-01,1.534208454623678108e-01,1.583695722723435784e-01
1.950000000000000178e+00,1.162981566290771651e-01,1.409714212482380269e-01,1.369507366781334834e-01
2.049999999999999822e+00,1.128510694177704554e-01,1.417037403196571566e-01,1.396551351117456263e-01
2.150000000000000355e+00,9.988345562285574908e-02,1.349297889090275426e-01,1.417104779212910448e-01
2.250000000000000000e+00,8.822901790843871994e-02,1.246773219091557167e-01,1.262413188810279918e-01
2.350000000000000533e+00,8.765450337322097663e-02,1.186356895699455238e-01,1.291620691893294037e-01
2.450000000000000178e+00,8.190935802104394592e-02,1.164387323556877879e-01,1.241859760714831007e-01
2.549999999999999822e+00,7.419444854811962919e-02,1.129602167664450485e-01,1.158564288959562788e-01
2.650000000000000355e+00,7.033699381165765818e-02,1.064608850075977053e-01,1.209406979511476465e-01
2.750000000000000000e+00,6.664368608525790549e-02,1.071932040790171264e-01,1.273230782544729767e-01
2.850000000000000533e+00,5.695901249158741297e-02,1.060031855879605828e-01,1.235369204474155713e-01
2.950000000000000178e+00,5.466095435071669645e-02,1.048131670969044832e-01,1.268903745050955212e-01
3.049999999999999822e+00,5.055727909916116897e-02,1.095732410611302415e-01,1.215897535752146208e-01
3.150000000000000355e+00,5.121386713941000757e-02,9.639149777558073118e-02,1.237532723221045489e-01
3.250000000000000000e+00,4.325273715139274500e-02,1.001446330166052417e-01,1.199671145150471713e-01
3.350000000000000533e+00,3.808210633443308291e-02,9.529301916845160647e-02,1.206161701391141594e-01
3.450000000000000178e+00,3.520953365834453980e-02,8.787828857033040675e-02,1.149910213972008127e-01
3.549999999999999822e+00,3.332184304262895275e-02,8.568133135607176876e-02,1.163973085826787573e-01
3.650000000000000355e+00,2.716633016529601541e-02,7.954815913293415697e-02,1.025507886025831400e-01
3.750000000000000000e+00,2.298058140870962163e-02,8.009739843649869850e-02,1.115293914021764088e-01
3.850000000000000533e+00,1.986178821752759838e-02,7.295728749015939485e-02,1.170463642067457455e-01
3.950000000000000178e+00,1.977971471249658289e-02,6.810567364200606488e-02,1.056878907855740291e-01
4.050000000000000711e+00,1.321383431000797137e-02,6.188096153494044432e-02,1.009281495424152464e-01
4.150000000000000355e+00,1.337798132007030072e-02,5.950092455282787740e-02,1.047143073494735538e-01
4.250000000000000000e+00,1.009504111882605568e-02,5.062155581186741221e-02,8.902879643452141223e-02
4.349999999999999645e+00,9.766747098701544436e-03,4.714304022262474914e-02,8.426905519136278222e-02
4.450000000000000178e+00,6.730027412550704941e-03,4.247450614232636118e-02,7.550680426645924037e-02
4.550000000000000711e+00,5.991365867270695596e-03,3.039124146390565981e-02,6.912442396313327186e-02
4.650000000000000355e+00,6.073439372301855065e-03,2.975046227641393870e-02,6.360745115856451803e-02
4.750000000000000000e+00,4.349895766648586952e-03,2.499038831218748646e-02,5.668419116851616812e-02
4.850000000000000533e+00,3.939528241493095786e-03,2.279343109792945216e-02,4.878734774236836297e-02
4.950000000000000178e+00,4.185748756586413731e-03,2.023031434796147832e-02,4.316219900045448893e-02
5.050000000000000711e+00,2.790499171057584001e-03,1.812489701763048480e-02,3.894333744401874686e-02
5.150000000000000355e+00,3.036719686150927532e-03,1.391406235696898176e-02,3.569805932368416701e-02
5.250000000000000000e+00,2.626352160995373483e-03,1.309020340162201680e-02,3.688799463447331450e-02
5.350000000000000533e+00,2.298058140870971964e-03,1.281558374983985012e-02,2.704398433612437147e-02
5.450000000000000178e+00,2.298058140870971964e-03,1.107632595521872848e-02,2.639492871205738334e-02
5.550000000000000711e+00,1.231102575466581266e-03,8.696288973105535322e-03,2.239241903031077841e-02
5.650000000000000355e+00,1.149029070435485982e-03,7.689350249903910244e-03,1.806538153653107839e-02
5.750000000000000000e+00,9.028085553421595806e-04,6.865491294557001661e-03,1.979619653404286056e-02
5.850000000000000533e+00,9.028085553421676037e-04,6.316251990992497421e-03,1.676727028839710906e-02
5.950000000000000178e+00,1.559396595591017046e-03,7.140110946339346155e-03,1.644274247636361500e-02
6.050000000000000711e+00,5.745145352177378952e-04,7.048571062411855201e-03,1.438739966681803692e-02
6.150000000000000355e+00,6.565880402488492255e-04,7.048571062411917651e-03,1.417104779212916867e-02
6.250000000000000000e+00,9.028085553421595806e-04,8.055509785613548801e-03,9.735834361004686716e-03
6.350000000000000533e+00,2.462205150933184867e-04,5.583932919573078059e-03,1.060124185976075301e-02
6.450000000000000178e+00,0.000000000000000000e+00,5.950092455282788607e-03,1.319746435602869167e-02
6.550000000000000711e+00,1.641470100622108427e-04,5.034693616008468001e-03,9.411306548971196118e-03
6.650000000000000355e+00,8.207350503110615318e-05,3.570055473169673078e-03,8.978602799593289607e-03
6.750000000000000000e+00,5.745145352177378952e-04,2.746196517822800925e-03,6.815084052703280007e-03
6.850000000000000533e+00,1.641470100622123064e-04,3.570055473169673078e-03,6.274204365980853501e-03
6.950000000000000178e+00,3.282940201244246127e-04,3.020816169605107689e-03,5.625148741913867968e-03
7.050000000000000711e+00,1.641470100622108427e-04,3.020816169605080800e-03,4.976093117846839067e-03
7.150000000000000355e+00,2.462205150933184867e-04,3.203895937459962529e-03,4.543389368468893526e-03
7.250000000000000000e+00,4.103675251555271067e-04,3.753135241024494525e-03,4.976093117846839067e-03
7.350000000000000533e+00,3.282940201244246127e-04,1.739257794621122720e-03,3.786157807057411416e-03
