lag_ps,Li_A2,Zr_A2,Cl_A2,O_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.833185098452663531e-01,4.618682184036373983e-02,1.211399585832902970e-01,6.922261474111231216e-02
2.000000000000000111e-01,3.904259805713382048e-01,9.397860257336139445e-02,2.176078538579949984e-01,1.014325565623189901e-01
3.000000000000000444e-01,4.505748980444917451e-01,1.275890221787315815e-01,2.647181960649842569e-01,1.161406385261464780e-01
4.000000000000000222e-01,5.000019237597345123e-01,1.566940827235031586e-01,2.982581793805717529e-01,1.341395276937934200e-01
5.000000000000000000e-01,5.351885288125454165e-01,1.713788960171277742e-01,3.186291659415135258e-01,1.486083236614962610e-01
6.000000000000000888e-01,5.645982236629946138e-01,1.785454224221528219e-01,3.317348351710236454e-01,1.562915805524403845e-01
7.000000000000000666e-01,5.894538599656086175e-01,1.821299019442687017e-01,3.396082838758963662e-01,1.563610425529776138e-01
8.000000000000000444e-01,6.084214344362528504e-01,1.831452164851955222e-01,3.447106795536343804e-01,1.564848891370636264e-01
9.000000000000000222e-01,6.216623635820469618e-01,1.814198851958288838e-01,3.458046841387663606e-01,1.544122836576286573e-01
1.000000000000000000e+00,6.309585108228334960e-01,1.778218344000036810e-01,3.428344200710496947e-01,1.497131964765164025e-01
1.100000000000000089e+00,6.413203690213163943e-01,1.732194341518625280e-01,3.401019157813300886e-01,1.450208196992258114e-01
1.200000000000000178e+00,6.460839036572824101e-01,1.691042670248160129e-01,3.369523720083075768e-01,1.426872875965964627e-01
1.300000000000000044e+00,6.534792800215230013e-01,1.658106190236868505e-01,3.344484154718296853e-01,1.405971936150758606e-01
1.400000000000000133e+00,6.604372086189116420e-01,1.640335300676236396e-01,3.335265446234352837e-01,1.385447759752754249e-01
1.500000000000000000e+00,6.708687308232829105e-01,1.632423490814363387e-01,3.329036877977181175e-01,1.395904583887711548e-01
1.600000000000000089e+00,6.796762959156515960e-01,1.640437471676112202e-01,3.346906283124425618e-01,1.406446848702445351e-01
1.700000000000000178e+00,6.901708599714160286e-01,1.654535603810383393e-01,3.368833024377438923e-01,1.427086211447038400e-01
1.800000000000000044e+00,6.987783321264262604e-01,1.662924777999157389e-01,3.382672294165620097e-01,1.432123041456574708e-01
1.900000000000000133e+00,7.079276286879135904e-01,1.674406819649021105e-01,3.391159360471633355e-01,1.447926207192831716e-01
2.000000000000000000e+00,7.172731376647873969e-01,1.678591435276285682e-01,3.398970781643990136e-01,1.453001731451472045e-01
2.100000000000000089e+00,7.241034696458978903e-01,1.680360829228508546e-01,3.405597960824142678e-01,1.448481935211324012e-01
2.200000000000000178e+00,7.318959400148660199e-01,1.686305660211466773e-01,3.419023171920448356e-01,1.447381753097526091e-01
2.300000000000000266e+00,7.365857101236336080e-01,1.693698425175627631e-01,3.435101580431545454e-01,1.449588871734802109e-01
2.400000000000000355e+00,7.434589082383831204e-01,1.706024918839159077e-01,3.455684361400064852e-01,1.458707056606422525e-01
2.500000000000000000e+00,7.507102664005086412e-01,1.712487304280896072e-01,3.476880069352682456e-01,1.458278025112440812e-01
2.600000000000000089e+00,7.557027646346311522e-01,1.712193966692883706e-01,3.485166721428943903e-01,1.469468654880368430e-01
2.700000000000000178e+00,7.620086871215357993e-01,1.714071537186436511e-01,3.493170963134947793e-01,1.466057088926129570e-01
2.800000000000000266e+00,7.688554837981761425e-01,1.720130214933551505e-01,3.507332686642118946e-01,1.465494245816162944e-01
2.900000000000000355e+00,7.759331448778200579e-01,1.729005961257528146e-01,3.525712599576728556e-01,1.469225272217753731e-01
3.000000000000000000e+00,7.815696147737678512e-01,1.733659015086258248e-01,3.546367645629266430e-01,1.473778828735221036e-01
3.100000000000000089e+00,7.866661829479127954e-01,1.734644112412654371e-01,3.565820383008462269e-01,1.468859296002872905e-01
3.200000000000000178e+00,7.923001734521354367e-01,1.738665684166002534e-01,3.584939153235011666e-01,1.471182280382528074e-01
3.300000000000000266e+00,7.993685623396740159e-01,1.740449783637258718e-01,3.596813665591167553e-01,1.484469608873125457e-01
3.400000000000000355e+00,8.070528625481045992e-01,1.749961777614901515e-01,3.614470068753514731e-01,1.485405922114883537e-01
3.500000000000000000e+00,8.155189538783212955e-01,1.768034632699316266e-01,3.641429315913836673e-01,1.493110056970176347e-01
3.600000000000000089e+00,8.242505515554373607e-01,1.793960620328242939e-01,3.684599642236936479e-01,1.517814826117110938e-01
