r_A,P10_Ainv,P40_Ainv,P80_Ainv
5.000000000000000278e-02,6.057024671295611895e-02,4.760073964226213539e-02,4.478483806062179273e-02
1.500000000000000222e-01,3.721212718110339379e-01,3.274381648084069840e-01,2.792020942861470068e-01
2.500000000000000000e-01,8.120352587777611708e-01,7.232566229106018874e-01,6.316392981545183583e-01
3.500000000000000333e-01,1.174061489469969466e+00,1.067263506709873688e+00,9.080288180697086986e-01
4.500000000000000111e-01,1.338126426027150373e+00,1.212262682850918427e+00,1.076458752515090822e+00
5.500000000000000444e-01,1.271236519426797384e+00,1.177294447190639914e+00,1.053849981610089692e+00
6.500000000000001332e-01,1.077132680028233480e+00,1.016916570549788901e+00,9.362627377166224951e-01
7.500000000000000000e-01,8.474089394461681302e-01,8.298090478021274974e-01,7.860063607451159839e-01
8.500000000000000888e-01,6.392705306872836779e-01,6.338221563135059133e-01,6.303411869063846318e-01
9.499999999999999556e-01,4.656029940414636581e-01,4.912945570385017779e-01,4.932822742909068747e-01
1.050000000000000044e+00,3.548858357545013886e-01,3.736658061917574325e-01,3.755868544600935444e-01
1.150000000000000133e+00,2.575466587876099611e-01,2.769996887643944028e-01,2.955366608251657756e-01
1.250000000000000000e+00,1.940217658935345091e-01,2.090770948902439808e-01,2.440449146491857624e-01
1.350000000000000089e+00,1.605357758408429147e-01,1.756650372567326035e-01,1.988273728391855011e-01
1.450000000000000178e+00,1.219612284762234683e-01,1.428937588107140055e-01,1.728651478765065863e-01
1.550000000000000044e+00,9.898064706751358299e-02,1.152487138646307308e-01,1.458211635403819373e-01
1.650000000000000133e+00,8.839316491850092439e-02,1.035316087219200348e-01,1.337054585577982790e-01
1.750000000000000000e+00,7.017284680159559251e-02,8.677980996320107387e-02,1.181281235801909801e-01
1.850000000000000089e+00,6.450977495444915055e-02,8.119587704362783709e-02,1.070941779710520292e-01
1.950000000000000178e+00,5.589205692618316040e-02,7.085187015982873093e-02,1.083922892191862275e-01
2.049999999999999822e+00,5.228082270481438504e-02,6.380329909741667971e-02,9.151684299344445273e-02
2.150000000000000355e+00,4.735641240294803656e-02,6.444407828490868184e-02,8.881244455983203223e-02
2.250000000000000000e+00,4.234992859605058585e-02,5.620548873144023960e-02,7.745397113865984395e-02
2.350000000000000533e+00,3.561990118349991213e-02,5.785320664213392666e-02,8.253824019385121169e-02
2.450000000000000178e+00,3.619441571871781504e-02,5.629702861536792224e-02,7.410051708098076839e-02
2.549999999999999822e+00,2.872572676088702356e-02,4.943153732081063956e-02,6.934077583782256859e-02
2.650000000000000355e+00,3.028512335647803519e-02,4.586148184764097385e-02,6.101122866229630876e-02
2.750000000000000000e+00,2.667388913510937778e-02,3.972830962450336206e-02,6.057852491291831204e-02
2.850000000000000533e+00,2.117496429802529292e-02,3.579209461562399275e-02,5.841500616602837703e-02
2.950000000000000178e+00,1.887690615715441680e-02,3.286281832994647489e-02,5.333073711083725216e-02
3.049999999999999822e+00,1.928727368230985853e-02,2.618040680324415156e-02,4.651565305813370327e-02
3.150000000000000355e+00,1.354212833013245486e-02,2.563116749967958574e-02,4.056597650418637679e-02
3.250000000000000000e+00,1.304968729994581897e-02,2.361729005327618813e-02,3.526535557430601764e-02
3.350000000000000533e+00,1.025918812888822369e-02,2.206111202650993044e-02,3.656346682243998697e-02
3.450000000000000178e+00,1.099784967416822350e-02,1.977261492832433840e-02,3.256095714069373592e-02
3.549999999999999822e+00,7.796982977955050319e-03,1.849105655334027515e-02,3.256095714069359714e-02
3.650000000000000355e+00,7.468688957830626682e-03,1.464638142838833521e-02,3.158737370459312188e-02
3.750000000000000000e+00,6.565880402488462331e-03,1.858259643726770105e-02,3.202007745397111166e-02
3.850000000000000533e+00,4.924410301866346748e-03,1.940645539261454458e-02,2.845027152160270814e-02
3.950000000000000178e+00,4.596116281741943928e-03,1.611101957122723985e-02,2.877479933363632711e-02
4.050000000000000711e+00,3.365013706275322546e-03,1.428022189267856568e-02,2.325782652906674755e-02
4.150000000000000355e+00,2.790499171057608720e-03,1.501254096409810994e-02,2.282512277968896941e-02
4.250000000000000000e+00,2.051837625777653586e-03,1.180864502663814784e-02,1.990437247138753321e-02
4.349999999999999645e+00,3.857454736461954532e-03,1.125940572307348314e-02,1.752450184980843678e-02
4.450000000000000178e+00,3.118793191182034092e-03,1.061862653558159029e-02,1.536098310291864055e-02
4.550000000000000711e+00,3.118793191182006336e-03,7.140110946339282838e-03,1.233205685727260283e-02
4.650000000000000355e+00,1.887690615715441333e-03,7.689350249903910244e-03,1.125029748382773594e-02
4.750000000000000000e+00,2.708425666026478742e-03,5.400853151718174212e-03,6.923259990047776584e-03
4.850000000000000533e+00,2.051837625777653586e-03,4.302374544589092874e-03,5.625148741913867968e-03
4.950000000000000178e+00,7.386615452799553515e-04,2.746196517822825211e-03,3.028926245645929306e-03
5.050000000000000711e+00,7.386615452799487379e-04,3.112356053532507570e-03,2.488046558923419534e-03
5.150000000000000355e+00,1.066955565404379856e-03,2.013877446403404981e-03,1.514463122822964653e-03
5.250000000000000000e+00,9.028085553421595806e-04,1.098478607129120370e-03,1.406287185478454632e-03
5.350000000000000533e+00,3.282940201244246127e-04,1.098478607129129911e-03,7.572315614114823266e-04
5.450000000000000178e+00,4.103675251555307388e-04,1.464638142838840026e-03,2.163518746889949427e-04
5.550000000000000711e+00,5.745145352177378952e-04,1.464638142838827015e-03,0.000000000000000000e+00
5.650000000000000355e+00,4.924410301866369733e-04,8.238589553468475416e-04,0.000000000000000000e+00
5.750000000000000000e+00,8.207350503110542135e-04,1.556178026766253785e-03,4.327037493779860365e-04
5.850000000000000533e+00,4.924410301866369733e-04,1.373098258911412605e-03,3.245278120334924412e-04
5.950000000000000178e+00,5.745145352177429910e-04,2.105417330330832618e-03,6.490556240669848823e-04
