time_ps,T_K,P_GPa,PE_eV_atom,rho_g_cm3,volume_A3
5.000000000000000278e-02,3.279269286400000283e+02,9.255194274833333790e-02,-5.469353179411764465e+00,1.824261977115603672e+00,8.388654223874551462e+03
1.000000000000000056e-01,3.562111198700000045e+02,-5.445210086166666491e-02,-5.471888323529412013e+00,1.812011663111562143e+00,8.445366689034586670e+03
1.500000000000000222e-01,3.604722492099999727e+02,2.358863390300000584e-02,-5.470623615441176923e+00,1.805228929495773960e+00,8.477098217154609301e+03
2.000000000000000111e-01,3.486845784999999864e+02,-5.604508189866666545e-02,-5.466649149632353044e+00,1.800898666518286673e+00,8.497481409862079090e+03
2.500000000000000000e-01,3.518925694199999725e+02,-2.532215994666668288e-02,-5.463579473161765065e+00,1.797355826001048484e+00,8.514231137989268973e+03
3.000000000000000444e-01,3.859273792600000093e+02,2.385755559679999804e-01,-5.465725520588235575e+00,1.797831318847646243e+00,8.511979282680067627e+03
3.500000000000000333e-01,3.725051050499999974e+02,-1.017326670393333271e-01,-5.464319404411764225e+00,1.797335670256044127e+00,8.514326618580103968e+03
4.000000000000000222e-01,3.912289656199999968e+02,3.152144664533333418e-01,-5.467635305514705557e+00,1.806063610892527427e+00,8.473180483505784650e+03
4.500000000000000111e-01,3.628420912899999848e+02,-9.642191938666666573e-02,-5.465608842279412016e+00,1.806904049035763071e+00,8.469239386535717131e+03
5.000000000000000000e-01,3.801300263399999722e+02,2.341306526616666606e-01,-5.469769796691176467e+00,1.810259774200430272e+00,8.453539739369032759e+03
5.500000000000000444e-01,3.614236702200000195e+02,-1.195599307480000179e-01,-5.469447872794117593e+00,1.803716793725929968e+00,8.484204944487430112e+03
6.000000000000000888e-01,3.748180944900000213e+02,1.119946032990000034e-01,-5.472785145955882058e+00,1.810570761347145785e+00,8.452087742982414056e+03
6.500000000000000222e-01,3.468735505700000203e+02,-2.943907846933333516e-01,-5.470527804044117204e+00,1.816477329782513195e+00,8.424604419157154553e+03
7.000000000000000666e-01,3.334983188799999994e+02,-7.935001554999999984e-02,-5.469291350735294266e+00,1.829960005480993246e+00,8.362534095799665010e+03
