CN,LiO,LiCl,ZrO,ZrCl
0.000000000000000000e+00,8.326261197548325832e-01,0.000000000000000000e+00,2.083333333333333426e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.673738802451673613e-01,0.000000000000000000e+00,4.583333333333333148e-01,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,4.714757190004714737e-04,1.666666666666666574e-01,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,1.933050447901932950e-02,1.250000000000000000e-01,4.207920792079208189e-02
4.000000000000000000e+00,0.000000000000000000e+00,3.064592173503064565e-01,4.166666666666666435e-02,2.186468646864686560e-01
5.000000000000000000e+00,0.000000000000000000e+00,4.735973597359736109e-01,0.000000000000000000e+00,4.603960396039604164e-01
6.000000000000000000e+00,0.000000000000000000e+00,1.980198019801980291e-01,0.000000000000000000e+00,2.788778877887788665e-01
7.000000000000000000e+00,0.000000000000000000e+00,2.121640735502121605e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
