lo_ps,hi_ps,Ea_app_eV,Arrhenius_R2,D300_extrap_cm2_s,sigma300_extrap_mS_cm,ratio_theory300K,ratio_experiment298point15K
5.000000000000000000e+00,2.000000000000000000e+01,2.195757337670493914e-01,7.218753346088095935e-01,1.706082941040433292e-07,8.898335918659789456e+00,2.055042937334824460e-01,3.676998313495780657e+00
1.000000000000000000e+01,3.000000000000000000e+01,3.245291461118466891e-01,9.927141016400649054e-01,7.760973150335101808e-08,4.047853975098411716e+00,9.348392552190327998e-02,1.672666931858847850e+00
1.000000000000000000e+01,4.000000000000000000e+01,2.803464687216317142e-01,9.998226188590828567e-01,9.096660559428733508e-08,4.744502125228283518e+00,1.095727973493829943e-01,1.960538068276150181e+00
