elapsed_ps,pair76_108_A,minimum_all_NN_A
1.000000000000000021e-02,1.330128023623307509e+00,1.330128023623307509e+00
2.000000000000000042e-02,1.356025633239528627e+00,1.356025633239528627e+00
2.999999999999999889e-02,1.717983840637937965e+00,1.717983840637937965e+00
4.000000000000000083e-02,1.350355999771926108e+00,1.350355999771926108e+00
5.000000000000000278e-02,1.271218589779980368e+00,1.271218589779980368e+00
5.999999999999999778e-02,1.609038961659561728e+00,1.609038961659561728e+00
7.000000000000000666e-02,1.187809262441120728e+00,1.187809262441120728e+00
8.000000000000000167e-02,1.449176889719353767e+00,1.449176889719353767e+00
8.999999999999999667e-02,1.341817489404157904e+00,1.341817489404157904e+00
1.000000000000000056e-01,1.319587062877551675e+00,1.319587062877551675e+00
1.100000000000000006e-01,1.512397891656411364e+00,1.512397891656411364e+00
1.199999999999999956e-01,1.179633187737523903e+00,1.179633187737523903e+00
1.300000000000000044e-01,1.438696564171873638e+00,1.438696564171873638e+00
1.400000000000000133e-01,1.288242233380433976e+00,1.288242233380433976e+00
1.499999999999999944e-01,1.399726019489920814e+00,1.399726019489920814e+00
1.600000000000000033e-01,1.444163394059903238e+00,1.444163394059903238e+00
1.700000000000000122e-01,1.242455512046067190e+00,1.242455512046067190e+00
1.799999999999999933e-01,1.462930628057505622e+00,1.462930628057505622e+00
1.900000000000000022e-01,1.178709173638945007e+00,1.178709173638945007e+00
2.000000000000000111e-01,1.409088594317442933e+00,1.409088594317442933e+00
2.099999999999999922e-01,1.250388950199745608e+00,1.250388950199745608e+00
2.200000000000000011e-01,1.420466455950164075e+00,1.420466455950164075e+00
2.300000000000000100e-01,1.228052373071581771e+00,1.228052373071581771e+00
2.399999999999999911e-01,1.347789162226806781e+00,1.347789162226806781e+00
2.500000000000000000e-01,1.289534343464946220e+00,1.289534343464946220e+00
2.600000000000000089e-01,1.347657156680660329e+00,1.347657156680660329e+00
2.700000000000000178e-01,1.265737691199015469e+00,1.265737691199015469e+00
2.800000000000000266e-01,1.295033483762010773e+00,1.295033483762010773e+00
2.899999999999999800e-01,1.268427953497336613e+00,1.268427953497336613e+00
2.999999999999999889e-01,1.266411169345775578e+00,1.266411169345775578e+00
3.099999999999999978e-01,1.336737432395867398e+00,1.336737432395867398e+00
3.200000000000000067e-01,1.346656385302381187e+00,1.346656385302381187e+00
3.300000000000000155e-01,1.314582101466638342e+00,1.314582101466638342e+00
3.400000000000000244e-01,1.275649250897054721e+00,1.275649250897054721e+00
3.499999999999999778e-01,1.334244049223364259e+00,1.334244049223364259e+00
3.599999999999999867e-01,1.297264020385803907e+00,1.297264020385803907e+00
3.699999999999999956e-01,1.377696657683498582e+00,1.377696657683498582e+00
3.800000000000000044e-01,1.323034957802739386e+00,1.323034957802739386e+00
3.900000000000000133e-01,1.348156181717424129e+00,1.348156181717424129e+00
4.000000000000000222e-01,1.311214672173463880e+00,1.311214672173463880e+00
4.099999999999999756e-01,1.340033820038595058e+00,1.340033820038595058e+00
4.199999999999999845e-01,1.252587282464597163e+00,1.252587282464597163e+00
4.299999999999999933e-01,1.361298955630603658e+00,1.361298955630603658e+00
4.400000000000000022e-01,1.280121678669767560e+00,1.280121678669767560e+00
4.500000000000000111e-01,1.336925199676067377e+00,1.336925199676067377e+00
4.600000000000000200e-01,1.269835210533692305e+00,1.269835210533692305e+00
4.699999999999999734e-01,1.337246843206322255e+00,1.337246843206322255e+00
4.799999999999999822e-01,1.219893080710377387e+00,1.219893080710377387e+00
4.899999999999999911e-01,1.362473708506617420e+00,1.362473708506617420e+00
5.000000000000000000e-01,1.235204387844449192e+00,1.235204387844449192e+00
5.100000000000000089e-01,1.369587034305284723e+00,1.369587034305284723e+00
5.200000000000000178e-01,1.210654616533196837e+00,1.210654616533196837e+00
5.300000000000000266e-01,1.361540135904607096e+00,1.361540135904607096e+00
5.400000000000000355e-01,1.244331915996990778e+00,1.244331915996990778e+00
5.500000000000000444e-01,1.333147312076325308e+00,1.333147312076325308e+00
5.600000000000000533e-01,1.250618684252488899e+00,1.250618684252488899e+00
5.699999999999999512e-01,1.337022102089063136e+00,1.337022102089063136e+00
5.799999999999999600e-01,1.254152755920219242e+00,1.254152755920219242e+00
5.899999999999999689e-01,1.327180161976339923e+00,1.327180161976339923e+00
5.999999999999999778e-01,1.318966755593875551e+00,1.318966755593875551e+00
6.099999999999999867e-01,1.352815076091213209e+00,1.352815076091213209e+00
6.199999999999999956e-01,1.262200770070902589e+00,1.262200770070902589e+00
6.300000000000000044e-01,1.316594324479216649e+00,1.316594324479216649e+00
6.400000000000000133e-01,1.279115290836758234e+00,1.279115290836758234e+00
6.500000000000000222e-01,1.357258302796894966e+00,1.357258302796894966e+00
6.600000000000000311e-01,1.310933636033418059e+00,1.310933636033418059e+00
6.700000000000000400e-01,1.300242958681444572e+00,1.300242958681444572e+00
6.800000000000000488e-01,1.267714824252976991e+00,1.267714824252976991e+00
6.899999999999999467e-01,1.287317236286807276e+00,1.287317236286807276e+00
6.999999999999999556e-01,1.345804788961825205e+00,1.345804788961825205e+00
7.099999999999999645e-01,1.329657241459111905e+00,1.329657241459111905e+00
7.199999999999999734e-01,1.328542478401327331e+00,1.328542478401327331e+00
7.299999999999999822e-01,1.264177756963138055e+00,1.264177756963138055e+00
