time_ps,sulfate_fraction_linking_2plus_Zr,mean_Zr_per_sulfate,sulfate_fraction_no_Zr,O_fraction_linking_2plus_Zr
1.009999999999999964e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.019999999999999929e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.029999999999999893e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.040000000000000036e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.050000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.059999999999999964e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,3.125000000000000000e-02
1.069999999999999929e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,3.125000000000000000e-02
1.079999999999999893e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,3.125000000000000000e-02
1.090000000000000036e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,3.125000000000000000e-02
1.100000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,3.125000000000000000e-02
1.109999999999999964e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,3.125000000000000000e-02
1.119999999999999929e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,3.125000000000000000e-02
1.130000000000000071e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.140000000000000036e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.150000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.159999999999999964e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.169999999999999929e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.180000000000000071e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.190000000000000036e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.200000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.209999999999999964e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.219999999999999929e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.230000000000000071e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.240000000000000036e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.250000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.259999999999999964e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.269999999999999929e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.280000000000000071e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.290000000000000036e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.300000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.309999999999999964e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.319999999999999929e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.330000000000000071e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.340000000000000036e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.350000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.359999999999999964e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.369999999999999929e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,3.125000000000000000e-02
1.380000000000000071e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.390000000000000036e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.400000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.409999999999999964e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.419999999999999929e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.430000000000000071e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.439999999999999858e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,3.125000000000000000e-02
1.450000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.459999999999999964e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.469999999999999929e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.480000000000000071e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.490000000000000036e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.500000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.509999999999999964e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.519999999999999929e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.530000000000000071e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.540000000000000036e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,3.125000000000000000e-02
1.550000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.559999999999999964e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.569999999999999929e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.580000000000000071e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.590000000000000036e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.600000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.610000000000000142e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.619999999999999929e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.630000000000000071e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.639999999999999858e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.650000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,3.125000000000000000e-02
1.660000000000000142e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.669999999999999929e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.680000000000000071e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.689999999999999858e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,3.125000000000000000e-02
1.700000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
