# msd.out by GPUMDkit
# Element: Li  |  dt: 1000.0000 fs  |  Frames: 1000  |  Atoms: 32
#     Time(ps)    MSD_x(Ang^2)    MSD_y(Ang^2)    MSD_z(Ang^2)
    129.000000       0.523068       0.560610       0.477907
    130.000000       0.524773       0.562755       0.480150
    131.000000       0.526613       0.559124       0.480573
    132.000000       0.528172       0.558009       0.479852
    133.000000       0.528753       0.563649       0.480701
    134.000000       0.529341       0.564028       0.478670
    135.000000       0.531368       0.565038       0.480031
    136.000000       0.533095       0.568240       0.480104
    137.000000       0.535366       0.572322       0.481327
    138.000000       0.537057       0.573033       0.483433
    139.000000       0.539936       0.575729       0.487092
    140.000000       0.542293       0.576326       0.486671
    141.000000       0.543336       0.575624       0.486398
    142.000000       0.543365       0.576588       0.485130
    143.000000       0.543753       0.575460       0.484751
    144.000000       0.545718       0.576451       0.486664
    145.000000       0.546795       0.577223       0.487402
    146.000000       0.547711       0.581068       0.489558
    147.000000       0.548934       0.582711       0.491895
    148.000000       0.550153       0.583749       0.492725
    149.000000       0.551608       0.582425       0.496181
    150.000000       0.553225       0.584124       0.497271
    151.000000       0.554736       0.585864       0.495121
    152.000000       0.557418       0.586909       0.498916
    153.000000       0.559421       0.589843       0.496723
    154.000000       0.560072       0.589049       0.497378
    155.000000       0.561892       0.589636       0.497702
    156.000000       0.563916       0.593137       0.498971
    157.000000       0.564602       0.592688       0.501021
    158.000000       0.564309       0.596497       0.500474
    159.000000       0.566910       0.597665       0.503039
    160.000000       0.569005       0.596191       0.505449
    161.000000       0.571927       0.598248       0.506493
    162.000000       0.573227       0.601545       0.506303
    163.000000       0.574773       0.603018       0.508410
    164.000000       0.577815       0.606635       0.511113
    165.000000       0.577943       0.605312       0.512288
    166.000000       0.578607       0.606056       0.514943
    167.000000       0.580372       0.608187       0.517864
    168.000000       0.581168       0.610417       0.519290
    169.000000       0.583159       0.610605       0.520925
    170.000000       0.584810       0.613334       0.522301
    171.000000       0.586035       0.615430       0.521988
    172.000000       0.586696       0.617790       0.524959
    173.000000       0.590338       0.618418       0.526998
    174.000000       0.592176       0.617092       0.529010
    175.000000       0.592551       0.618195       0.529518
    176.000000       0.592945       0.620163       0.531498
    177.000000       0.595245       0.618156       0.533033
    178.000000       0.595935       0.621980       0.531931
    179.000000       0.596721       0.624608       0.534823
    180.000000       0.599143       0.623347       0.539742
    181.000000       0.600311       0.626084       0.542994
    182.000000       0.601735       0.627288       0.542919
    183.000000       0.603066       0.631948       0.543508
    184.000000       0.605704       0.630734       0.545882
    185.000000       0.606882       0.631204       0.547148
    186.000000       0.610460       0.631938       0.547374
    187.000000       0.611113       0.632475       0.547590
    188.000000       0.611922       0.632760       0.549830
    189.000000       0.614092       0.634549       0.549223
    190.000000       0.614734       0.634406       0.548377
    191.000000       0.615633       0.634570       0.548147
    192.000000       0.616086       0.631854       0.548345
    193.000000       0.618581       0.636147       0.548833
    194.000000       0.620686       0.638137       0.550829
    195.000000       0.621102       0.638163       0.546814
    196.000000       0.621400       0.638986       0.547739
    197.000000       0.623959       0.637534       0.548637
    198.000000       0.625640       0.638198       0.549977
    199.000000       0.625862       0.636978       0.547116
    200.000000       0.627286       0.638146       0.549392
    201.000000       0.628740       0.637133       0.550614
    202.000000       0.628027       0.635075       0.552676
    203.000000       0.629826       0.635408       0.555172
    204.000000       0.630470       0.639269       0.556133
    205.000000       0.631986       0.641655       0.556371
    206.000000       0.633219       0.643270       0.557870
    207.000000       0.634169       0.642654       0.559735
    208.000000       0.634983       0.646853       0.561786
    209.000000       0.636442       0.646742       0.561569
    210.000000       0.638608       0.647358       0.563412
    211.000000       0.641291       0.649758       0.562350
    212.000000       0.642304       0.648780       0.565097
    213.000000       0.645938       0.645180       0.564196
    214.000000       0.646195       0.648188       0.566012
    215.000000       0.649091       0.648355       0.566528
    216.000000       0.649842       0.648569       0.568264
    217.000000       0.651503       0.651043       0.568909
    218.000000       0.654431       0.651011       0.569044
    219.000000       0.654051       0.650176       0.568186
    220.000000       0.655501       0.650961       0.569273
    221.000000       0.658220       0.652151       0.569450
    222.000000       0.659930       0.653916       0.570455
    223.000000       0.661497       0.656396       0.569623
    224.000000       0.664262       0.657660       0.569824
    225.000000       0.666408       0.660404       0.572545
    226.000000       0.667972       0.662512       0.571030
    227.000000       0.670953       0.664190       0.573502
    228.000000       0.671551       0.664347       0.574183
    229.000000       0.672587       0.665261       0.574318
    230.000000       0.672444       0.667391       0.576118
    231.000000       0.673324       0.669027       0.576046
    232.000000       0.675041       0.672462       0.577913
    233.000000       0.675365       0.673370       0.577291
    234.000000       0.675709       0.674907       0.578231
    235.000000       0.679211       0.676990       0.579681
    236.000000       0.680345       0.679004       0.580602
    237.000000       0.682902       0.684035       0.582308
    238.000000       0.685457       0.684119       0.582541
    239.000000       0.687582       0.684524       0.584138
    240.000000       0.689513       0.685799       0.582413
    241.000000       0.690228       0.683957       0.585149
    242.000000       0.691764       0.683957       0.587997
    243.000000       0.694734       0.683241       0.587549
    244.000000       0.697754       0.684457       0.588115
    245.000000       0.699819       0.687859       0.589838
    246.000000       0.701674       0.690724       0.590060
    247.000000       0.703292       0.690300       0.595249
    248.000000       0.704282       0.690776       0.598391
    249.000000       0.707986       0.694676       0.599743
    250.000000       0.711013       0.698197       0.602799
    251.000000       0.713212       0.699071       0.605838
    252.000000       0.716568       0.702094       0.605027
    253.000000       0.719865       0.705926       0.607717
    254.000000       0.721507       0.710848       0.608326
    255.000000       0.723767       0.711968       0.611653
    256.000000       0.724994       0.711904       0.612657
    257.000000       0.727579       0.714590       0.612690
    258.000000       0.728868       0.714138       0.613924
    259.000000       0.730533       0.711874       0.615455
    260.000000       0.734266       0.712069       0.617383
    261.000000       0.735278       0.712717       0.619773
    262.000000       0.738315       0.715101       0.617739
    263.000000       0.738866       0.714705       0.619040
    264.000000       0.739867       0.719181       0.618391
    265.000000       0.739921       0.717941       0.617549
    266.000000       0.741920       0.720425       0.617697
    267.000000       0.742785       0.719528       0.617222
    268.000000       0.744594       0.722027       0.617320
    269.000000       0.743575       0.725459       0.617806
    270.000000       0.746757       0.725312       0.617744
    271.000000       0.748663       0.727148       0.619482
    272.000000       0.749677       0.730259       0.621695
    273.000000       0.751584       0.729830       0.622599
    274.000000       0.752766       0.731159       0.622940
    275.000000       0.754484       0.731972       0.625387
    276.000000       0.754814       0.732417       0.625641
    277.000000       0.758377       0.732247       0.626076
    278.000000       0.759172       0.732525       0.625688
    279.000000       0.759748       0.732553       0.625883
    280.000000       0.761222       0.733637       0.627533
    281.000000       0.761779       0.730202       0.630593
    282.000000       0.763458       0.731936       0.629675
    283.000000       0.763614       0.736243       0.631345
    284.000000       0.765765       0.736905       0.632827
    285.000000       0.768378       0.736111       0.633352
    286.000000       0.771381       0.739233       0.635589
    287.000000       0.772412       0.740222       0.634133
    288.000000       0.775166       0.744413       0.635967
    289.000000       0.776686       0.746057       0.638880
    290.000000       0.778267       0.750011       0.639485
