series,T_K,D_cm2_s,ln_D
NEP89,300.0,5.4009713794161074e-08,-16.73410192148246
NEP89,500.0,4.2092730877889934e-07,-14.68080568140506
NEP89,700.0,7.924743392086516e-06,-11.745520618272602
NEP89,900.0,3.064674160909106e-05,-10.392984210887777
Chen_2025_DeePMD,300.0,1.18583296051821e-09,-20.552820389023527
Chen_2025_DeePMD,500.0,9.35033480925553e-08,-16.18526859281635
Chen_2025_DeePMD,700.0,1.52370874371679e-06,-13.39436323201097
Chen_2025_DeePMD,900.0,9.10638144850278e-06,-11.606535132130796
