r_A,normalized_G_proxy
0.02,-0.00205420101840096
0.06,-0.00616260305520288
0.1,-0.010271005092004801
0.14,-0.01437940712880672
0.18,-0.018487809165608642
0.22,-0.02259621120241056
0.26,-0.02670461323921248
0.30000000000000004,-0.0308130152760144
0.33999999999999997,-0.03492141731281632
0.38,-0.03902981934961824
0.42000000000000004,-0.043138221386420164
0.45999999999999996,-0.04724662342322208
0.5,-0.051355025460024
0.54,-0.05546342749682592
0.5800000000000001,-0.05957182953362784
0.62,-0.06368023157042975
0.66,-0.06778863360723168
0.7,-0.0718970356440336
0.74,-0.07600543768083551
0.78,-0.08011383971763744
0.8200000000000001,-0.08422224175443938
0.86,-0.08833064379124127
0.9,-0.0924390458280432
0.94,-0.09654744786484512
0.98,-0.10065584990164704
1.02,-0.10476425193844896
1.06,-0.10887265397525088
1.1,-0.11298105601205281
1.1400000000000001,-0.11708945804885473
1.18,-0.12119786008565663
1.22,-0.12530626212245854
1.26,-0.12941466415926048
1.3,-0.1335230661960624
1.34,-0.13763146823286432
1.3800000000000001,-0.1263676650389149
1.42,-0.057497907772271185
1.46,0.0044050571101415465
1.5,0.11646880970706727
1.54,0.09392901226438619
1.58,-0.04570163481348357
1.62,-0.13048438231188159
1.6600000000000001,-0.15517693060092932
1.7,-0.16753738059798168
1.74,-0.17328723357368803
1.78,-0.16388546928023798
1.82,-0.09446216402823715
1.86,0.054431435411609705
1.9,0.1375781536236668
1.94,0.09704136453924107
1.98,-0.039218307361725636
2.02,-0.12835890910233624
2.06,-0.16958631934030124
2.1,-0.17870764616478482
2.14,-0.18677675170094787
2.18,-0.18104142367648224
2.22,-0.16652689692461017
2.2600000000000002,-0.13214346299033472
2.3,0.04105720522518702
2.34,0.42544501597280154
2.38,0.8278265898676349
2.42,1.0
2.46,0.8712221790357306
2.5,0.6272556512583318
2.54,0.3356324420038811
2.58,0.1664226023955258
2.62,0.048815024828059876
2.66,-0.05148692009310388
2.7,-0.0691263518907517
2.74,-0.06616470846938764
2.7800000000000002,-0.07861314010361115
2.8200000000000003,-0.06758540366828367
2.86,-0.06561153481728567
2.9,-0.04764267673795275
2.94,-0.027034359477002622
2.98,0.005524000770940659
3.02,0.02444581882638057
3.06,0.055134554605487246
3.1,0.05396918298277712
3.14,0.0912084700663354
3.18,0.12523398464085325
3.22,0.16262742484974568
3.2600000000000002,0.1888525756757418
3.3000000000000003,0.23037165487027167
3.34,0.22733599293637782
3.38,0.24098553108868528
3.42,0.23788808700549835
3.46,0.21435802027819667
3.5,0.1814704046460309
3.54,0.1564445296665413
3.58,0.1403380994642329
3.62,0.11664959867315354
3.66,0.08914673546937317
3.7,0.07918084627726446
3.74,0.05397165941047556
3.7800000000000002,0.02603322181392367
3.8200000000000003,0.0027326260952455395
3.86,-0.01916138582691446
3.9,-0.053856436607369274
3.94,-0.07115911695127132
3.98,-0.09325599036314328
4.02,-0.11818996138292207
4.0600000000000005,-0.11801152545391384
4.1,-0.1252268917502781
4.140000000000001,-0.10780347884810511
4.18,-0.07451171905163476
4.220000000000001,-0.04837743981192256
4.26,-0.031102815337093356
4.300000000000001,-0.035689453454894514
4.34,-0.029790193219397132
4.380000000000001,-0.03264262488625027
4.42,-0.03751997724524518
4.460000000000001,-0.031410533343811914
4.5,-0.03670818992680561
4.540000000000001,-0.01648727623701734
4.58,-0.025893916668749538
4.62,-0.0037071478412922347
4.66,-0.0010368428685395019
4.699999999999999,0.0024555701979031754
4.74,0.004804183576656227
4.779999999999999,0.04555236041202485
4.82,0.04722572475439583
4.859999999999999,0.0635500461397617
4.9,0.07730188527292217
4.9399999999999995,0.06383009443086914
4.98,0.05071546809704056
5.02,0.055670302575533695
5.0600000000000005,0.0595307945475262
5.1,0.03856321585623587
5.140000000000001,0.03278015925155198
5.18,0.027322823190612435
5.220000000000001,0.013174929104912575
5.26,-0.008548534192038583
5.300000000000001,-0.008294480284730663
5.34,-0.023108526806134993
5.380000000000001,-0.03304262747254781
5.42,-0.03334597987678678
5.460000000000001,-0.029372057120124192
5.5,-0.019294162318569483
5.540000000000001,-0.018020208728693324
5.58,-0.023246182739822152
5.62,-0.007904538484588719
5.66,-0.02322843722500149
5.699999999999999,-0.03345958441215085
