series,T_K,sigma_S_cm,ln_sigmaT
NEP89_conditional_NE,600.0,0.10370702455363798,4.130744228361776
NEP89_conditional_NE,900.0,1.3130238397379725,7.074727515173188
NEP89_conditional_NE,1200.0,3.116920075580287,8.226922194776106
NEP89_conditional_NE,1500.0,5.051546838645261,8.932914888158098
Bates_1996_experiment_anchor,300.0,2.3e-06,-7.278818960372969
