r_A,G_r
7.15,0.01671
7.17,0.00236
7.19,-0.00982
7.21,-0.01981
7.23,-0.02772
7.25,-0.03371
7.27,-0.03801
7.29,-0.04086
7.31,-0.04248
7.33,-0.04311
7.35,-0.04293
7.37,-0.0421
7.39,-0.04073
7.41,-0.0388
7.43,-0.03621
7.45,-0.0327
7.47,-0.02786
7.49,-0.02118
7.51,-0.01206
7.55,0.01578
7.57,0.03524
7.59,0.05845
7.61,0.08498
7.63,0.11399
7.65,0.14426
7.67,0.17431
7.69,0.20246
7.71,0.22707
7.73,0.24668
7.75,0.26019
7.77,0.26697
7.79,0.26696
7.81,0.26067
7.83,0.24909
7.85,0.23364
7.87,0.21593
7.89,0.19765
7.91,0.18039
7.93,0.16545
7.95,0.1538
7.97,0.14595
7.99,0.142
