series,T_K,D_cm2_s,ln_D
NEP89,340.0,7.298506902235783e-07,-14.130425857664196
NEP89,360.0,3.807975483226802e-07,-14.780997972278183
NEP89,380.0,1.0282976349171087e-06,-13.787605904706998
Hussain_2024_AIMD,340.0,2.09e-06,-13.078346491987555
Hussain_2024_AIMD,360.0,1.77e-06,-13.244531011378536
Hussain_2024_AIMD,380.0,3.5e-06,-12.562747589468906
