step,time_ps,atoms,T_K,PE_eV,KE_eV,Etot_eV,P_bar,V_A3,rho_g_cm3,Lx_A,Ly_A,Lz_A,Fmax_component_eV_A
0.000000000000000000e+00,0.000000000000000000e+00,1.920000000000000000e+02,1.500000000000000000e+03,-9.094616600000000517e+02,3.703303199999999862e+01,-8.724286299999999983e+02,9.799542699999999968e+03,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,2.777473400000000057e-03
1.000000000000000000e+02,5.000000000000000278e-02,1.920000000000000000e+02,7.941202200000000175e+02,-8.906713799999999992e+02,1.960578599999999838e+01,-8.710656000000000176e+02,3.345561700000000201e+03,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.348490400000000200e+00
2.000000000000000000e+02,1.000000000000000056e-01,1.920000000000000000e+02,8.324378799999999501e+02,-8.888054399999999760e+02,2.055179899999999904e+01,-8.682536499999999933e+02,1.746835699999999997e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.975985600000000009e+00
3.000000000000000000e+02,1.499999999999999944e-01,1.920000000000000000e+02,8.465026800000000549e+02,-8.857790400000000091e+02,2.089903999999999940e+01,-8.648799999999999955e+02,9.275895699999999124e+03,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.083051699999999951e+00
4.000000000000000000e+02,2.000000000000000111e-01,1.920000000000000000e+02,1.012457499999999982e+03,-8.856845700000000079e+02,2.499624800000000135e+01,-8.606883199999999761e+02,1.626373099999999977e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.744042799999999893e+00
5.000000000000000000e+02,2.500000000000000000e-01,1.920000000000000000e+02,1.004915600000000040e+03,-8.809765499999999747e+02,2.481004799999999832e+01,-8.561665000000000418e+02,1.204711499999999978e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.245200399999999874e+00
6.000000000000000000e+02,2.999999999999999889e-01,1.920000000000000000e+02,1.093035900000000083e+03,-8.783496699999999464e+02,2.698562300000000036e+01,-8.513640500000000202e+02,1.942246299999999974e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,7.225376699999999985e+00
7.000000000000000000e+02,3.499999999999999778e-01,1.920000000000000000e+02,1.153640799999999899e+03,-8.750614600000000110e+02,2.848187599999999975e+01,-8.465795900000000529e+02,1.630660599999999977e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.842664399999999869e+00
8.000000000000000000e+02,4.000000000000000222e-01,1.920000000000000000e+02,1.435910100000000057e+03,-8.768626900000000433e+02,3.545073500000000166e+01,-8.414119500000000471e+02,1.400894399999999951e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.079173299999999891e+00
9.000000000000000000e+02,4.500000000000000111e-01,1.920000000000000000e+02,1.432730000000000018e+03,-8.723750400000000127e+02,3.537222400000000277e+01,-8.370028200000000425e+02,1.934361500000000160e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.120914899999999825e+00
