stage_time_ps,Li_A2,Zr_A2,O_A2,Cl_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000426326e-02,1.809498806346484523e-01,1.077333759286044738e-02,5.314269237588501588e-02,3.980258903212365029e-02
1.000000000000014211e-01,3.502343035212670541e-01,3.704061842770616647e-02,8.362522781403057548e-02,1.062394135823403751e-01
1.499999999999985789e-01,4.137793590658559451e-01,7.277463976349492214e-02,1.084460433472976132e-01,1.756496905792668539e-01
2.000000000000028422e-01,5.954923494186452615e-01,9.668983390916073561e-02,1.777212394558385367e-01,2.241403165870420877e-01
2.500000000000000000e-01,6.008473543181755971e-01,1.046095941814466634e-01,1.761445349573337593e-01,2.649422143345604996e-01
3.000000000000042633e-01,5.448395232012054334e-01,1.021873873317690889e-01,1.657284995923479776e-01,2.884571637316218351e-01
3.500000000000014211e-01,5.351631298137131676e-01,1.044108673116395103e-01,1.419019905798897807e-01,3.199526895141517335e-01
3.999999999999985789e-01,5.737015343263491829e-01,1.227108428380568189e-01,1.561331055697072479e-01,3.272809034486678925e-01
4.500000000000028422e-01,5.977742299826722672e-01,1.426804513721931233e-01,1.664396937673889576e-01,3.358560662969338195e-01
5.000000000000000000e-01,7.141570127000534951e-01,1.601816980960938663e-01,1.785331476351566249e-01,3.558271247320270447e-01
5.500000000000042633e-01,6.588393042418407841e-01,1.709446110826361165e-01,1.869134500852881187e-01,3.684044124012916810e-01
6.000000000000014211e-01,6.000471630300506787e-01,1.847231224526595661e-01,1.901249825964752838e-01,3.650343061500148645e-01
6.499999999999985789e-01,5.825207193215622414e-01,2.027223754210709383e-01,2.232296711778918308e-01,3.692680239640221962e-01
7.000000000000028422e-01,6.206418412655181349e-01,2.044078217718192370e-01,2.123004334372214086e-01,3.875683249601512559e-01
7.500000000000000000e-01,7.483100495031262955e-01,2.268414606366399300e-01,2.209340845665738462e-01,3.824785256615003681e-01
8.000000000000042633e-01,7.939863060114833448e-01,2.243902022461298218e-01,2.626105835794521060e-01,4.008237608733644652e-01
8.500000000000014211e-01,9.928958949137969281e-01,2.424278718552287659e-01,3.088331636787461920e-01,4.163868688311559985e-01
8.999999999999985789e-01,1.008688266421690294e+00,2.442003065822178909e-01,3.153581926248732459e-01,4.458710375197099118e-01
9.500000000000028422e-01,9.850480662800564780e-01,2.730913180033672782e-01,3.024632256699121835e-01,4.490652919453600456e-01
1.000000000000000000e+00,1.022152746581886928e+00,2.912865586352030856e-01,3.130099248684471980e-01,4.355207004370051926e-01
1.050000000000004263e+00,9.608638807921930924e-01,2.910754174728772958e-01,3.294082733414303577e-01,4.340324738749591349e-01
1.100000000000001421e+00,1.003558011178246501e+00,2.879007569589817073e-01,3.495058626371101984e-01,4.418285230116454354e-01
1.149999999999998579e+00,9.797723083750989881e-01,2.524772390920975718e-01,3.032548951736610543e-01,4.668431416107762799e-01
1.200000000000002842e+00,1.028620603863344751e+00,2.303109289120672809e-01,2.955967328102154790e-01,4.778201282162821695e-01
1.250000000000000000e+00,1.141754880805952332e+00,2.132994050880059611e-01,3.027998889866582721e-01,4.525159181876025616e-01
1.300000000000004263e+00,1.141897433490191238e+00,2.039543798445927758e-01,2.437606143329278108e-01,4.292781262538208353e-01
1.350000000000001421e+00,1.082685202675455427e+00,1.982149190626588953e-01,2.414337384860314739e-01,4.205359782865716323e-01
1.399999999999998579e+00,1.153127438121161141e+00,1.911501304038327465e-01,2.392327612793838376e-01,4.147639364932858008e-01
1.450000000000002842e+00,1.128223371165991695e+00,2.002090920895547022e-01,2.308168085699300043e-01,4.089521772186327508e-01
1.500000000000000000e+00,1.211103065950332347e+00,1.817156044134344561e-01,2.291505554543710466e-01,4.204585361436324886e-01
1.550000000000004263e+00,1.370177769598454276e+00,1.901604976298713334e-01,2.176851587849160108e-01,4.255128117662416165e-01
1.600000000000001421e+00,1.473707227560511868e+00,1.927702138184936576e-01,2.345566416924197706e-01,4.347722878598905827e-01
1.649999999999998579e+00,1.444431769575511337e+00,2.163123555638072348e-01,2.160689667655088797e-01,4.325469644730358110e-01
1.700000000000002842e+00,1.477616429342506921e+00,2.250716478060983128e-01,2.297703976401915538e-01,4.438839421005281727e-01
1.750000000000000000e+00,1.416095950118454239e+00,2.421925392754817885e-01,2.699887590754655453e-01,4.440165901446883612e-01
1.800000000000004263e+00,1.350501255023187852e+00,2.365854792988725530e-01,2.083349167259174461e-01,4.323135141078452426e-01
1.850000000000001421e+00,1.296446562219524479e+00,2.170789965182391146e-01,2.473288842944004473e-01,4.120936844258963339e-01
1.899999999999998579e+00,1.350483225169748946e+00,2.093215851962504093e-01,2.207660293484923208e-01,3.890171284318915679e-01
1.950000000000002842e+00,1.604575781813560864e+00,2.042638172270999641e-01,2.746844291996173304e-01,3.765229858964171950e-01
2.000000000000000000e+00,1.566809544163632495e+00,2.048350961008159887e-01,2.441647651198841917e-01,3.752333176839861006e-01
2.050000000000004263e+00,1.661290898129646143e+00,1.746457975502642979e-01,2.184427599457006985e-01,3.835384085665818343e-01
2.100000000000001421e+00,1.633805035842398556e+00,1.579180631357491593e-01,1.809568009755211093e-01,3.771831243725211613e-01
2.149999999999998579e+00,1.597855843950167332e+00,1.476159935432601600e-01,2.116104537071733238e-01,3.779318788735359091e-01
2.200000000000002842e+00,1.643654254166833084e+00,1.539016645945421036e-01,1.951770329888209143e-01,3.747761277369012212e-01
2.250000000000000000e+00,1.682402228744838135e+00,1.643846701609015803e-01,1.855317430919307953e-01,3.708029525770918378e-01
2.300000000000004263e+00,1.686755413517235125e+00,1.642121183873566093e-01,2.075712951859031985e-01,3.658045818803609128e-01
2.350000000000001421e+00,1.635727847980659178e+00,1.831153316323771152e-01,2.193002006382604729e-01,3.720353714472031115e-01
2.399999999999998579e+00,1.572740899476517962e+00,2.104149429786909831e-01,2.594291125011720101e-01,3.708607117618870630e-01
2.450000000000002842e+00,1.538980754128403516e+00,2.210287213592984357e-01,3.239551313493572171e-01,3.883704494040347011e-01
2.500000000000000000e+00,1.644598970753284872e+00,2.435180739954753981e-01,3.243280779525672397e-01,3.919823215654228421e-01
2.550000000000004263e+00,1.689682164938310027e+00,2.750726250960813801e-01,2.898723653418388557e-01,4.007015606028294652e-01
2.600000000000001421e+00,1.800958213016041309e+00,2.906571169274883015e-01,3.627543332742881321e-01,4.190265258567671403e-01
2.649999999999998579e+00,1.821999352518929527e+00,2.974879994834543351e-01,3.457174915562892248e-01,4.269215870640834520e-01
2.700000000000002842e+00,1.975686084463814218e+00,3.131585447383776200e-01,3.890818183479327064e-01,4.360661986057646766e-01
2.750000000000000000e+00,1.990499341722407278e+00,3.120243669530151087e-01,3.508137884401010820e-01,4.686122259828532366e-01
2.800000000000004263e+00,1.878607539999316289e+00,3.165149534723388780e-01,3.079449573506319315e-01,4.889062761208631813e-01
2.850000000000001421e+00,2.120197822814676059e+00,3.149465715225298612e-01,2.806658245517125172e-01,5.057175661193581417e-01
2.899999999999998579e+00,2.046750124457081377e+00,2.885791145170039096e-01,2.919444216963761884e-01,5.326197736548465844e-01
2.950000000000002842e+00,2.086232354424482960e+00,2.835781348059778773e-01,2.530815992795446001e-01,5.571838026222187823e-01
3.000000000000000000e+00,2.290959646666129057e+00,2.812219845874195934e-01,2.339166298391547050e-01,5.804849549902721950e-01
3.050000000000004263e+00,2.340265592239934023e+00,2.944113460387424719e-01,3.098937113009352373e-01,5.811152637561076695e-01
3.100000000000001421e+00,2.512338745333889012e+00,3.105693982845760259e-01,3.356665873880820272e-01,5.730812711701023243e-01
3.149999999999998579e+00,2.636598517375503992e+00,3.222645522859895473e-01,3.346846288771471722e-01,5.486238267411713831e-01
3.200000000000002842e+00,2.524262284678899793e+00,3.124351649772926787e-01,3.201727735036644096e-01,5.294281776030573816e-01
3.250000000000000000e+00,2.403370978557255011e+00,3.061156901776740935e-01,3.016893642808080589e-01,5.001047244172601713e-01
3.300000000000004263e+00,2.274702742656358634e+00,2.682182885760948099e-01,2.628521675001683766e-01,4.952289369983539080e-01
3.350000000000001421e+00,2.218504468299395072e+00,2.409108874031189729e-01,2.508288803372316633e-01,4.844936210763229334e-01
3.399999999999998579e+00,2.473385752302075691e+00,2.411147093999160551e-01,2.659681079320924679e-01,4.568277512861956269e-01
3.450000000000002842e+00,2.332219172668997142e+00,2.289143504239348481e-01,2.581329658769296320e-01,4.375256887495858615e-01
3.500000000000000000e+00,2.254330293860575374e+00,2.206806646711277908e-01,1.945890386278787687e-01,4.168616627416992793e-01
3.550000000000004263e+00,2.098044031725602832e+00,2.179193852133375076e-01,2.477998120832033135e-01,4.001917951797071549e-01
3.600000000000001421e+00,1.966585088781604318e+00,2.021162902599517863e-01,2.339136276471347753e-01,3.840094065228542575e-01
3.649999999999998579e+00,1.947715846691015606e+00,1.875810019030646203e-01,2.133600873077614868e-01,3.639187900697850031e-01
3.700000000000002842e+00,2.007138568499351017e+00,1.684867247156495995e-01,2.681495875368071213e-01,3.545601006481234885e-01
3.750000000000000000e+00,1.927978000329749086e+00,1.736989860609610137e-01,2.341239672271943351e-01,3.548069937500452631e-01
3.800000000000004263e+00,2.121079251954330225e+00,1.724242536254758928e-01,1.988229685852155038e-01,3.620750609603483605e-01
3.850000000000001421e+00,1.857797478101271160e+00,1.762860643319494047e-01,1.749235209579551587e-01,3.687719305068136166e-01
3.899999999999998579e+00,1.921661530997498035e+00,1.658641553227175880e-01,1.819665834854317377e-01,3.725221609875269402e-01
3.950000000000002842e+00,1.886410562887154363e+00,1.582178802136814944e-01,1.826939901515453879e-01,3.636575706543218600e-01
4.000000000000000000e+00,2.020598854812498235e+00,1.273032598899760670e-01,1.813870026043790107e-01,3.637766798721765449e-01
4.050000000000004263e+00,1.947839523526953665e+00,1.218133034651840557e-01,2.217189235572559480e-01,3.624490003172899377e-01
4.100000000000001421e+00,1.757252078436762011e+00,1.256566933233944361e-01,2.022160989128303221e-01,3.674413626613021733e-01
4.149999999999998579e+00,1.606673781193737716e+00,1.308797529282116068e-01,1.708856341707643001e-01,3.626062333350060785e-01
4.200000000000002842e+00,1.741772455652869311e+00,1.398441515058594098e-01,1.800374137915933537e-01,3.594280134083308043e-01
4.250000000000000000e+00,1.814599189710448757e+00,1.443309691531088623e-01,1.860104697715310451e-01,3.650009551285743892e-01
4.300000000000004263e+00,1.849126863494704454e+00,1.628705551816840569e-01,1.643182062839391444e-01,3.587903707878524751e-01
4.350000000000001421e+00,2.084179042807441817e+00,1.578491730151088956e-01,1.606188689186402729e-01,3.507908941364253907e-01
4.399999999999998579e+00,1.932017957897124827e+00,1.605030452401400576e-01,2.719651699098416531e-01,3.452643447426615997e-01
4.450000000000002842e+00,1.988278031678595070e+00,1.625945933388207587e-01,2.038973939432194571e-01,3.418384231592475064e-01
