center_ps,rho_mean_g_cm3,PE_mean_eV_atom,T_mean_K
4.550000000000000000e+01,1.939643159999999922e+00,-4.743187164062498518e+00,3.094709550000000036e+02
4.650000000000000000e+01,1.911113549999999606e+00,-4.744653135416665890e+00,3.040714234999999235e+02
4.750000000000000000e+01,1.919047930000000290e+00,-4.745830692708334020e+00,2.986821025000000418e+02
4.850000000000000000e+01,1.900897025000000129e+00,-4.746647343750000303e+00,2.972210980000000973e+02
4.950000000000000000e+01,1.903181899999999427e+00,-4.745355802083332186e+00,3.019468595000000164e+02
5.050000000000000000e+01,1.906725299999999734e+00,-4.747794893229166924e+00,2.939759169999999813e+02
5.150000000000000000e+01,1.873918300000000148e+00,-4.746290210937500476e+00,3.032781105000000252e+02
5.250000000000000000e+01,1.881677889999999964e+00,-4.750072799479166719e+00,2.960033950000000118e+02
5.350000000000000000e+01,1.846767054999999713e+00,-4.749658997395832749e+00,2.915177099999999655e+02
5.450000000000000000e+01,1.870757679999999867e+00,-4.749315770833333339e+00,3.041627955000000156e+02
