center_ps,rho_mean_g_cm3,PE_mean_eV_atom,T_mean_K
4.550000000000000000e+01,1.997005260000000337e+00,-4.750890270833333595e+00,2.914707305000000019e+02
4.650000000000000000e+01,1.970181709999999864e+00,-4.749647145833333362e+00,2.982125564999999483e+02
4.750000000000000000e+01,1.953807899999999709e+00,-4.749598973958334192e+00,2.999975815000000239e+02
4.850000000000000000e+01,1.935277470000000166e+00,-4.750958763020832976e+00,2.911781890000000317e+02
4.950000000000000000e+01,1.945110024999999965e+00,-4.750166460937500723e+00,2.997743319999999585e+02
5.050000000000000000e+01,1.910939630000000111e+00,-4.749741575520832981e+00,3.057342140000000086e+02
5.150000000000000000e+01,1.940061969999999913e+00,-4.750144710937500570e+00,2.967006255000000010e+02
5.250000000000000000e+01,1.922707730000000392e+00,-4.751163231770833661e+00,3.031156604999999900e+02
5.350000000000000000e+01,1.946693655000000245e+00,-4.752314945312499539e+00,2.932853799999999751e+02
5.450000000000000000e+01,1.938295080000000059e+00,-4.751737867187499909e+00,2.952003175000000397e+02
