time_ps,initial_peak_intensity_retention
5.000000000000000000e+01,1.314052174921691019e-01
5.025000000000000000e+01,1.126475921953799392e-01
5.050000000000000000e+01,1.202204755728305402e-01
5.075000000000000000e+01,1.068354027749426755e-01
5.100000000000000000e+01,1.671977358885672893e-01
5.125000000000000000e+01,1.224492351453005112e-01
5.150000000000000000e+01,1.345033946639812572e-01
5.175000000000000000e+01,1.233236698442019830e-01
5.200000000000000000e+01,1.828786141408275667e-01
5.225000000000000000e+01,1.551983491586468311e-01
5.250000000000000000e+01,1.161197623156722536e-01
5.275000000000000000e+01,1.010748311261730759e-01
5.300000000000000000e+01,1.137802382425275871e-01
5.325000000000000000e+01,1.551959076353401357e-01
5.350000000000000000e+01,1.763715680357324511e-01
5.375000000000000000e+01,1.334404355006832410e-01
5.400000000000000000e+01,6.743654536552844136e-02
5.425000000000000000e+01,7.435775923591179948e-02
5.450000000000000000e+01,7.461816992829806150e-02
5.475000000000000000e+01,1.157047931403259872e-01
5.500000000000000000e+01,1.668747328044655753e-01
