stage_time_ps,Li_A2,Zr_A2,O_A2,Cl_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000426326e-02,1.905169174997484172e-01,1.133132714435861055e-02,5.036212172826019101e-02,4.464961324839582940e-02
1.000000000000014211e-01,3.641542910066185579e-01,3.579249802828822491e-02,7.768532800579747155e-02,1.145918319326240109e-01
1.499999999999985789e-01,3.991466237431088304e-01,6.965007360323967334e-02,1.020816881482812383e-01,1.782870709743214765e-01
2.000000000000028422e-01,4.640600806556073876e-01,1.010513333237920697e-01,1.864032482157296500e-01,2.334022946958290157e-01
2.500000000000000000e-01,5.734356095474419934e-01,1.311817553825211091e-01,1.612740286060799777e-01,2.863825841681784667e-01
3.000000000000042633e-01,6.607648566964946513e-01,1.422562580192493764e-01,2.390142056536297410e-01,3.381821359804343952e-01
3.500000000000014211e-01,7.996653690412700577e-01,1.645008905474094063e-01,2.971409817860879432e-01,3.888537265345962668e-01
3.999999999999985789e-01,9.147782451638959422e-01,1.651878227830943235e-01,2.046116552603778338e-01,4.523229220953678964e-01
4.500000000000028422e-01,9.586749191552241811e-01,1.853455585636266945e-01,1.826629785156080876e-01,5.026328930231159786e-01
5.000000000000000000e-01,9.180539023302261015e-01,2.020124072413710392e-01,2.155007594042849528e-01,5.472242878151950540e-01
5.500000000000042633e-01,9.062791008613937382e-01,2.382349108781584013e-01,1.987284044317449705e-01,5.903253264584676918e-01
6.000000000000014211e-01,1.034350195030709685e+00,2.713089034087555196e-01,2.415632840058797859e-01,6.234122589722236318e-01
6.499999999999985789e-01,1.273147679879581107e+00,2.682962442295160899e-01,2.826980641257682003e-01,6.605177821239464064e-01
7.000000000000028422e-01,1.331667949027566689e+00,2.736688822832755164e-01,2.256374970373700994e-01,6.730407009994104905e-01
7.500000000000000000e-01,1.314835995970935922e+00,2.516844463731714998e-01,2.280397238305652274e-01,6.822821280569494329e-01
8.000000000000042633e-01,1.454017845698848621e+00,2.371097878489089317e-01,1.945989910929297739e-01,6.914105953119239478e-01
8.500000000000014211e-01,1.391020892316138902e+00,2.389708367583415205e-01,2.184581004846862518e-01,6.714507168264706172e-01
8.999999999999985789e-01,1.225584761462553463e+00,2.539444260536374842e-01,2.282437579298410013e-01,6.492111718263430253e-01
9.500000000000028422e-01,1.287066896318885600e+00,2.644768188767383510e-01,2.361291212447854670e-01,6.572288079740239430e-01
1.000000000000000000e+00,1.247954652480125270e+00,2.733814617951046966e-01,2.704477052166396889e-01,6.783616552934422783e-01
1.050000000000004263e+00,1.382814985798851648e+00,2.671455411687116421e-01,2.581710286494401374e-01,7.113388665829678548e-01
1.100000000000001421e+00,1.268829188190414792e+00,2.763571541796326914e-01,2.833819089617292675e-01,7.266624702957756865e-01
1.149999999999998579e+00,1.219572939407391532e+00,2.860710544709594294e-01,3.448217855520714914e-01,7.291406839722810451e-01
1.200000000000002842e+00,1.115901024257516694e+00,2.766502051875512902e-01,3.700426344716792326e-01,7.290499820040994283e-01
1.250000000000000000e+00,1.361259058231317098e+00,2.759301119122025137e-01,3.343863059293452622e-01,7.192470289156208674e-01
1.300000000000004263e+00,1.326314488100153177e+00,2.507295461549770010e-01,3.125957930334158363e-01,7.339490528276491066e-01
1.350000000000001421e+00,1.375688351666037645e+00,2.536362564631264305e-01,3.455025450090667416e-01,7.469263586370818997e-01
1.399999999999998579e+00,1.350804587449241589e+00,2.732316015510574125e-01,3.223168445174805496e-01,7.642516789772246799e-01
1.450000000000002842e+00,1.372015729712327436e+00,2.897672660714370463e-01,2.967909242804179226e-01,7.663183251262032369e-01
1.500000000000000000e+00,1.333682163012849475e+00,2.981369952564809078e-01,3.272110076954675706e-01,7.590227053804160517e-01
1.550000000000004263e+00,1.289000193114422821e+00,2.537213724933946035e-01,2.980294388576151809e-01,7.852811245772378657e-01
1.600000000000001421e+00,1.204277613967359883e+00,2.231511399066884171e-01,2.757666457014992800e-01,7.768405109705235345e-01
1.649999999999998579e+00,1.325431634156050142e+00,1.929801553157494964e-01,3.081946564543492917e-01,7.570871953347524386e-01
1.700000000000002842e+00,1.373372197075691137e+00,1.957269212321597340e-01,2.443652020302050643e-01,7.331851837624414614e-01
1.750000000000000000e+00,1.158950907216869108e+00,1.833771626638959484e-01,2.241951402711490626e-01,7.329783490961587766e-01
1.800000000000004263e+00,1.206381721857805456e+00,1.857407450387577874e-01,2.483685701092915588e-01,7.179003110055163228e-01
1.850000000000001421e+00,1.160954964006721157e+00,1.838991051293738244e-01,2.442020411692490678e-01,7.208555049823128780e-01
1.899999999999998579e+00,1.246427759700751814e+00,1.761382391650694601e-01,2.109854433852882682e-01,7.085807675282199680e-01
1.950000000000002842e+00,1.235518163430788574e+00,1.890740203940615982e-01,2.325393830715058174e-01,6.837980910385133004e-01
2.000000000000000000e+00,1.184408975248673501e+00,1.784413148674578453e-01,2.508611070893301820e-01,7.238080086894270737e-01
2.050000000000004263e+00,1.144142371334171404e+00,2.092966683427558705e-01,2.165553100941503828e-01,7.290621754431670931e-01
2.100000000000001421e+00,1.306185054355128994e+00,2.166307065972914447e-01,2.404401735702852427e-01,7.262990425179105536e-01
2.149999999999998579e+00,1.336465331956249170e+00,2.345431918677115812e-01,2.413404417500842614e-01,7.400801596092104750e-01
2.200000000000002842e+00,1.279923681685876780e+00,2.332040786098488472e-01,2.960999558050364522e-01,7.399137918401613723e-01
2.250000000000000000e+00,1.392849352567436583e+00,2.328313226631140154e-01,2.625860130555469074e-01,7.399879627049433806e-01
2.300000000000004263e+00,1.298615107012140779e+00,2.409599190507114852e-01,2.445563934816717688e-01,7.501899109664367238e-01
2.350000000000001421e+00,1.199278223731896409e+00,2.553064853243222632e-01,3.132612539430997267e-01,7.568062310438993245e-01
2.399999999999998579e+00,1.229628226171703309e+00,2.511174629219225518e-01,3.055612693394585966e-01,7.914319343721436528e-01
2.450000000000002842e+00,1.137110334496247210e+00,2.474292733407108535e-01,3.266167289610958369e-01,8.175598328640316659e-01
2.500000000000000000e+00,1.122512954852023181e+00,2.678335585154171805e-01,3.792333324821435814e-01,8.315824433177777530e-01
2.550000000000004263e+00,1.239024127022780863e+00,2.830754527483511640e-01,3.041275000684077745e-01,8.248861099686637388e-01
2.600000000000001421e+00,1.329605481385824239e+00,2.816023989573258057e-01,3.142288765367252101e-01,8.143494655322667253e-01
2.649999999999998579e+00,1.171013149356940897e+00,2.654840526373243859e-01,2.980846808906491563e-01,7.917594362949498255e-01
2.700000000000002842e+00,1.134908716503984394e+00,2.538523073102594840e-01,2.839852676617285465e-01,7.666427459840873260e-01
2.750000000000000000e+00,1.124393971207713339e+00,2.505605044277927074e-01,2.541769384047178337e-01,7.556673744150270711e-01
2.800000000000004263e+00,1.008905699080373752e+00,2.431106623807658407e-01,2.172186418956845166e-01,7.638740288713153914e-01
