time_ps,initial_peak_intensity_retention
5.000000000000000000e+01,6.537542281584324266e-02
5.025000000000000000e+01,6.435188317325600538e-02
5.050000000000000000e+01,8.472948634741077345e-02
5.075000000000000000e+01,8.485477137873989606e-02
5.100000000000000000e+01,9.271859446438700247e-02
5.125000000000000000e+01,9.741824453657914329e-02
5.150000000000000000e+01,8.510929978387231365e-02
5.175000000000000000e+01,8.629380431841267296e-02
5.200000000000000000e+01,9.844441568451262059e-02
5.225000000000000000e+01,9.198063754603973130e-02
5.250000000000000000e+01,6.966170295781538846e-02
5.275000000000000000e+01,7.653277382158966968e-02
5.300000000000000000e+01,7.763375265131861047e-02
5.325000000000000000e+01,8.280427090523591327e-02
5.350000000000000000e+01,7.941326724014786953e-02
5.375000000000000000e+01,8.040848551313900527e-02
5.400000000000000000e+01,6.852983545135285515e-02
5.425000000000000000e+01,9.267798548631539512e-02
5.450000000000000000e+01,8.847595438477509622e-02
5.475000000000000000e+01,7.366967606843134730e-02
5.500000000000000000e+01,5.817547711148158412e-02
