time_ps,initial_peak_intensity_retention
5.000000000000000000e+01,1.772166818434874058e-01
5.025000000000000000e+01,1.868265298907695049e-01
5.050000000000000000e+01,1.840960887074141739e-01
5.075000000000000000e+01,1.928860167397294934e-01
5.100000000000000000e+01,2.055791518012181907e-01
5.125000000000000000e+01,1.866630674836037285e-01
5.150000000000000000e+01,1.510771327947239284e-01
5.175000000000000000e+01,1.751757186017224299e-01
5.200000000000000000e+01,1.617858541194324151e-01
5.225000000000000000e+01,1.289302334146890938e-01
5.250000000000000000e+01,1.363784961605314372e-01
5.275000000000000000e+01,1.316476868727664840e-01
5.300000000000000000e+01,1.528466974965937142e-01
5.325000000000000000e+01,1.403337717211375346e-01
5.350000000000000000e+01,1.153619572390998382e-01
5.375000000000000000e+01,1.865781674272244950e-01
5.400000000000000000e+01,1.668349546523356097e-01
5.425000000000000000e+01,2.139027976403839182e-01
5.450000000000000000e+01,1.967428490559963161e-01
5.475000000000000000e+01,1.466382876532446311e-01
5.500000000000000000e+01,8.625626690346589742e-02
