time_ps,initial_peak_intensity_retention
5.000000000000000000e+01,7.787509411705721696e-02
5.025000000000000000e+01,6.540894139171467281e-02
5.050000000000000000e+01,6.471326257569565144e-02
5.075000000000000000e+01,7.520526559915570453e-02
5.100000000000000000e+01,7.039087070771643528e-02
5.125000000000000000e+01,7.359083018932659204e-02
5.150000000000000000e+01,6.206317449627141852e-02
5.175000000000000000e+01,6.446045658280005752e-02
5.200000000000000000e+01,7.147577351099804188e-02
5.225000000000000000e+01,5.849150875164847024e-02
5.250000000000000000e+01,6.779418690194080610e-02
5.275000000000000000e+01,8.443422222756517825e-02
5.300000000000000000e+01,7.848543756597710364e-02
5.325000000000000000e+01,8.814623076012502445e-02
5.350000000000000000e+01,7.956965983628247474e-02
5.375000000000000000e+01,6.319551683856074187e-02
5.400000000000000000e+01,5.380281536962981670e-02
5.425000000000000000e+01,5.573898171030560594e-02
5.450000000000000000e+01,6.337943617607409708e-02
5.475000000000000000e+01,7.182938233865118760e-02
5.500000000000000000e+01,7.442150576107620097e-02
