step,time_ps,atoms,T_K,PE_eV,KE_eV,Etot_eV,P_bar,V_A3,rho_g_cm3,Lx_A,Ly_A,Lz_A,Fmax_component_eV_A
0.000000000000000000e+00,0.000000000000000000e+00,1.920000000000000000e+02,1.500000000000000000e+03,-9.114339700000000448e+02,3.703303199999999862e+01,-8.744009399999999914e+02,1.208041799999999967e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,2.540211299999999787e-03
1.000000000000000000e+02,5.000000000000000278e-02,1.920000000000000000e+02,7.814064700000000130e+02,-8.923572500000000218e+02,1.929189999999999827e+01,-8.730653499999999667e+02,1.101578399999999965e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.487466200000000072e+00
2.000000000000000000e+02,1.000000000000000056e-01,1.920000000000000000e+02,8.567809300000000121e+02,-8.912854899999999816e+02,2.115279699999999963e+01,-8.701326900000000251e+02,1.366837600000000020e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.042914500000000189e+00
3.000000000000000000e+02,1.499999999999999944e-01,1.920000000000000000e+02,8.474952700000000050e+02,-8.877753800000000410e+02,2.092354600000000175e+01,-8.668518299999999499e+02,9.147486500000000888e+03,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.091321100000000044e+00
4.000000000000000000e+02,2.000000000000000111e-01,1.920000000000000000e+02,9.521562800000000379e+02,-8.863935099999999920e+02,2.350748899999999963e+01,-8.628860200000000304e+02,1.296051300000000083e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,4.158450499999999828e+00
5.000000000000000000e+02,2.500000000000000000e-01,1.920000000000000000e+02,1.080244200000000092e+03,-8.849798899999999549e+02,2.666981200000000030e+01,-8.583100699999999961e+02,1.432486599999999999e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,4.896390799999999821e+00
6.000000000000000000e+02,2.999999999999999889e-01,1.920000000000000000e+02,1.116345499999999902e+03,-8.811260300000000143e+02,2.756110599999999877e+01,-8.535649300000000039e+02,1.530119199999999910e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.393154899999999863e+00
7.000000000000000000e+02,3.499999999999999778e-01,1.920000000000000000e+02,1.129358500000000049e+03,-8.765501799999999548e+02,2.788237799999999922e+01,-8.486678000000000566e+02,1.749986799999999857e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,4.529893200000000064e+00
8.000000000000000000e+02,4.000000000000000222e-01,1.920000000000000000e+02,1.335669100000000071e+03,-8.765307699999999613e+02,3.297591700000000259e+01,-8.435548599999999624e+02,1.745343500000000131e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.281078200000000056e+00
9.000000000000000000e+02,4.500000000000000111e-01,1.920000000000000000e+02,1.354236300000000028e+03,-8.722603100000000040e+02,3.343431600000000259e+01,-8.388259900000000471e+02,2.020062700000000041e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,4.023771799999999566e+00
1.000000000000000000e+03,5.000000000000000000e-01,1.920000000000000000e+02,1.512159400000000005e+03,-8.717682200000000421e+02,3.733323200000000242e+01,-8.344349899999999707e+02,2.302938100000000122e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,5.862481100000000112e+00
1.100000000000000000e+03,5.500000000000000444e-01,1.920000000000000000e+02,1.612897899999999936e+03,-8.707133400000000165e+02,3.982033200000000051e+01,-8.308930100000000039e+02,1.922783199999999852e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.950827400000000100e+00
1.200000000000000000e+03,5.999999999999999778e-01,1.920000000000000000e+02,1.528881399999999985e+03,-8.667804700000000366e+02,3.774607499999999760e+01,-8.290343900000000303e+02,1.822718400000000111e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,4.243677599999999828e+00
1.300000000000000000e+03,6.500000000000000222e-01,1.920000000000000000e+02,1.569116800000000012e+03,-8.666029899999999770e+02,3.873943400000000281e+01,-8.278635600000000068e+02,2.066564400000000023e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.494079300000000110e+00
1.400000000000000000e+03,6.999999999999999556e-01,1.920000000000000000e+02,1.532981700000000046e+03,-8.654402800000000298e+02,3.784730700000000070e+01,-8.275929700000000366e+02,2.527549299999999857e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,4.099984400000000306e+00
1.500000000000000000e+03,7.500000000000000000e-01,1.920000000000000000e+02,1.501200599999999895e+03,-8.655170399999999518e+02,3.706267299999999665e+01,-8.284543599999999515e+02,2.095257800000000134e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,4.978235999999999883e+00
1.600000000000000000e+03,8.000000000000000444e-01,1.920000000000000000e+02,1.554215099999999893e+03,-8.679470099999999775e+02,3.837153200000000197e+01,-8.295754799999999705e+02,1.985400600000000122e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.944171600000000222e+00
1.700000000000000000e+03,8.499999999999999778e-01,1.920000000000000000e+02,1.492181399999999940e+03,-8.679530099999999493e+02,3.683999899999999883e+01,-8.311130100000000311e+02,2.061105199999999968e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,4.333500599999999814e+00
1.800000000000000000e+03,9.000000000000000222e-01,1.920000000000000000e+02,1.455538000000000011e+03,-8.682797100000000228e+02,3.593532400000000138e+01,-8.323443899999999758e+02,1.590531999999999971e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.622853899999999960e+00
1.900000000000000000e+03,9.499999999999999556e-01,1.920000000000000000e+02,1.502350699999999961e+03,-8.702325100000000475e+02,3.709106599999999787e+01,-8.331414399999999887e+02,2.031271900000000096e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.474393000000000065e+00
2.000000000000000000e+03,1.000000000000000000e+00,1.920000000000000000e+02,1.413973700000000008e+03,-8.685138600000000224e+02,3.490915499999999838e+01,-8.336046999999999798e+02,1.789983099999999831e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,5.273170799999999936e+00
2.100000000000000000e+03,1.050000000000000044e+00,1.920000000000000000e+02,1.502915299999999888e+03,-8.708053499999999758e+02,3.710500600000000304e+01,-8.337003499999999576e+02,2.223615499999999884e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,5.053880099999999764e+00
2.200000000000000000e+03,1.100000000000000089e+00,1.920000000000000000e+02,1.416216899999999896e+03,-8.690569000000000415e+02,3.496453699999999998e+01,-8.340923599999999851e+02,1.086210699999999997e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.383738500000000204e+00
