r_A,P_O,P_N,Li_O,Li_N
3.325000000000000178e+00,1.006290084464816381e+00,0.000000000000000000e+00,1.036862758362371961e+00,1.077033218970736117e+00
3.375000000000000000e+00,1.098013220055141792e+00,2.078968139004372037e-02,1.035536977852815621e+00,1.207081376894497904e+00
3.425000000000000266e+00,1.092529011246806681e+00,1.005894972415871114e-01,1.009025501103337996e+00,1.707377782411604983e+00
3.475000000000000089e+00,1.212634649356621797e+00,2.548579575023586230e-01,1.018642562387214623e+00,1.664589520394846200e+00
3.525000000000000355e+00,1.131007201636058612e+00,4.371965647235757646e-01,1.003568660656618539e+00,1.741252431608068862e+00
3.575000000000000178e+00,1.214886958516340654e+00,6.653804908808340635e-01,9.851557768271784754e-01,1.616786062117068656e+00
3.625000000000000000e+00,1.338738950087962731e+00,6.459518907503326579e-01,9.219113185222995721e-01,1.616854626403929851e+00
3.675000000000000266e+00,1.468332999406489092e+00,6.818579175983358054e-01,9.545052150662040047e-01,1.596613643340495159e+00
3.725000000000000089e+00,1.530503050698619694e+00,6.818855464262094657e-01,9.180454449538180128e-01,1.657273308609848117e+00
3.775000000000000355e+00,1.625860000525614746e+00,6.806613414228511738e-01,9.872981257887183393e-01,1.597486328030814251e+00
3.825000000000000178e+00,1.551644173169098639e+00,6.292582194969201792e-01,9.527935234528855934e-01,1.501587328567837387e+00
3.875000000000000000e+00,1.480550697638452595e+00,7.240178872906765095e-01,1.011955617410936537e+00,1.382121306959539941e+00
3.925000000000000266e+00,1.520697498885844601e+00,8.428137495035461502e-01,1.061403865363051091e+00,1.280151246797228914e+00
3.975000000000000089e+00,1.502412650999902954e+00,8.379455430226233625e-01,1.103936001797451771e+00,1.262401870771492352e+00
4.025000000000000355e+00,1.586062020320003318e+00,1.165779532203371271e+00,1.168648320496155524e+00,1.231708208956658668e+00
4.075000000000000178e+00,1.577729313577930892e+00,1.379654757402731136e+00,1.273717557490616326e+00,1.303210136137251229e+00
4.125000000000000000e+00,1.681704754587961537e+00,1.805715642055294889e+00,1.370456672655590458e+00,1.129343752737868023e+00
4.175000000000000711e+00,1.697934940336319976e+00,1.775511913068859027e+00,1.410863842239514332e+00,1.117770156440157647e+00
4.224999999999999645e+00,1.677736806608522979e+00,1.615562791798969666e+00,1.555669148069328545e+00,1.135237277397009859e+00
4.275000000000000355e+00,1.565358770606784189e+00,1.887922749890892371e+00,1.484637922699864720e+00,9.854497626352193285e-01
4.325000000000000178e+00,1.612182403924327101e+00,2.119728504231611410e+00,1.471654624095394048e+00,1.148332246750503938e+00
4.375000000000000000e+00,1.526921258209122723e+00,1.790812906476238364e+00,1.400800979134132263e+00,1.332601489578082665e+00
4.425000000000000711e+00,1.485813076257478160e+00,1.954262416269874070e+00,1.284928374528060635e+00,1.404091245720890058e+00
4.474999999999999645e+00,1.372977985430649417e+00,1.710749351902651094e+00,1.138079196953448058e+00,1.197515727510888972e+00
