lag_ps,Li_A2,P_A2,O_A2,N_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.266085759404703248e+00,2.240862533728068262e-01,5.416604555198656357e-01,5.088555347571149801e-01
2.000000000000000111e-01,2.181769631446821567e+00,3.858187730003532212e-01,9.502218715671170157e-01,8.734418249247913879e-01
3.000000000000000444e-01,3.000258678588975769e+00,4.751864775225440041e-01,1.215163269647398181e+00,1.071466792008175961e+00
4.000000000000000222e-01,3.798929683796147927e+00,5.403459194451090131e-01,1.432254024907252177e+00,1.219120198572930747e+00
5.000000000000000000e-01,4.576488835525621468e+00,5.944438056125587178e-01,1.624271172761869941e+00,1.354149628806460059e+00
6.000000000000000888e-01,5.353282083813108549e+00,6.404928515454072491e-01,1.801277780085111413e+00,1.476242396009414204e+00
7.000000000000000666e-01,6.125127439637648052e+00,6.866782019428558925e-01,1.970557162896582115e+00,1.587224487436088571e+00
8.000000000000000444e-01,6.890637907108693838e+00,7.287056401121544402e-01,2.127026226006572429e+00,1.693904631841891106e+00
9.000000000000000222e-01,7.652772888861234968e+00,7.687110469892517450e-01,2.273264565098133794e+00,1.793719778368501716e+00
1.000000000000000000e+00,8.415980781147860412e+00,8.066032484583290918e-01,2.413390464893301335e+00,1.885607515810078016e+00
1.100000000000000089e+00,9.171238333024156475e+00,8.413335284747025522e-01,2.546063022647817142e+00,1.969147590423644401e+00
1.200000000000000178e+00,9.932848385895152177e+00,8.767007762261850301e-01,2.671041248515017674e+00,2.048529752186933006e+00
1.300000000000000044e+00,1.069215368918112929e+01,9.094632544309101396e-01,2.789472593058600403e+00,2.126559332310791639e+00
1.400000000000000133e+00,1.145020925966165848e+01,9.417893325740318566e-01,2.904530600898836301e+00,2.198729607206932890e+00
1.500000000000000000e+00,1.220326128390437326e+01,9.736708307462972334e-01,3.013812241801699709e+00,2.273970947420188349e+00
1.600000000000000089e+00,1.294668624890522324e+01,1.003639045910764693e+00,3.119905494266767221e+00,2.342883202657618291e+00
1.700000000000000178e+00,1.369527629793657653e+01,1.034856879794709528e+00,3.226546881128482536e+00,2.409918541458217600e+00
1.800000000000000044e+00,1.444839881575958529e+01,1.066113377936181550e+00,3.329956806795741908e+00,2.482238052431709363e+00
1.900000000000000133e+00,1.519527707130687766e+01,1.098322157659756160e+00,3.431585024526686123e+00,2.549515982213714782e+00
2.000000000000000000e+00,1.594257240961340649e+01,1.129578606876485924e+00,3.528218962469996889e+00,2.615883734419798934e+00
2.100000000000000089e+00,1.669061766790097678e+01,1.158535269838134818e+00,3.619569899341803954e+00,2.674675987198536387e+00
2.200000000000000178e+00,1.744260987394708806e+01,1.187847237321967508e+00,3.708039183196321975e+00,2.736513442725406531e+00
2.300000000000000266e+00,1.819114716562744150e+01,1.218405483816552559e+00,3.797059284960443648e+00,2.802789365012064771e+00
2.400000000000000355e+00,1.894138764064641478e+01,1.248711042539052629e+00,3.882964719034496248e+00,2.862429673689034892e+00
2.500000000000000000e+00,1.969833947342631575e+01,1.276900226783147296e+00,3.965489748554690497e+00,2.919481985916331013e+00
2.600000000000000089e+00,2.045140282865246562e+01,1.306032729850594709e+00,4.048909481929107379e+00,2.980255383805912039e+00
2.700000000000000178e+00,2.120298998712466343e+01,1.334298688451946990e+00,4.128874680202263114e+00,3.033794081395146947e+00
2.800000000000000266e+00,2.195959763582677482e+01,1.363653848291979775e+00,4.210596374780717355e+00,3.086953601235050026e+00
2.900000000000000355e+00,2.271437623156827001e+01,1.391175651580470074e+00,4.288323764819637951e+00,3.135289812617929606e+00
3.000000000000000000e+00,2.347185519651327823e+01,1.417615669764560327e+00,4.361999438912651073e+00,3.179877464636847950e+00
3.100000000000000089e+00,2.422794593305145128e+01,1.444166681693401566e+00,4.433589955580805153e+00,3.228189947721376019e+00
3.200000000000000178e+00,2.498827207441930298e+01,1.469027745068122615e+00,4.503239945124514421e+00,3.276076926573710857e+00
3.300000000000000266e+00,2.574473908910710662e+01,1.495695109796839617e+00,4.572977950624932397e+00,3.319796974932200051e+00
3.400000000000000355e+00,2.649883421535874106e+01,1.521686793449743558e+00,4.639797956608326501e+00,3.362939925089068360e+00
3.500000000000000000e+00,2.725432139261557651e+01,1.547566200830318373e+00,4.706167402503495190e+00,3.412384378238953353e+00
3.600000000000000089e+00,2.801463166466399457e+01,1.574291106099836135e+00,4.774628635453115777e+00,3.455251265677888650e+00
3.700000000000000178e+00,2.877466262480145076e+01,1.599214567718922453e+00,4.838132667743582083e+00,3.498125039169774908e+00
3.800000000000000266e+00,2.953205652876371801e+01,1.623062513436861698e+00,4.901322144973892847e+00,3.539001546035748014e+00
3.900000000000000355e+00,3.029443571272650360e+01,1.647037592959063268e+00,4.965476092675316977e+00,3.574151995447813146e+00
4.000000000000000000e+00,3.106267281969229899e+01,1.669862327945208058e+00,5.027591930061754866e+00,3.607158848091130299e+00
4.100000000000000533e+00,3.183296301305945164e+01,1.692721042863185366e+00,5.086396357481236308e+00,3.638047783969055260e+00
