T_K,replica,D_cm2_s,R2,alpha,window_CV,Li_MSD100_A2,framework_max_MSD100_A2,framework_to_Li_MSD100,PE_drift_meV_atom,late_min_NN_A,quality_score
600,1,1.2552627031114075e-06,0.9997885037415984,0.874139100540017,0.0025449194543915245,8.05672492228644,0.4317292962606607,0.05358620288330994,0.05398736344146059,2.481640333188961,1.04705468479193
600,2,1.5140876874276804e-06,0.9991522131421128,0.8000035858093759,0.036948141290525975,10.266353704883706,1.3464567596489097,0.13115238363630508,1.3435262343547596,2.522126439812363,1.8486884637712167
600,3,8.551769196756637e-07,0.9961922011297352,0.8281885568975648,0.1025985537335416,5.48790229896262,0.35505668748746577,0.06469807007216259,0.06852705957000228,2.4924890211266884,1.856683324683778
900,1,1.6966792448029268e-05,0.9972530099781253,0.9165408576835326,0.07725880239312556,104.79639896416919,4.121263193777425,0.03932638176991674,1.4294444934406665,2.4036218543339185,1.0524303290767607
900,2,2.61320330560001e-05,0.9986988265162174,0.9785129616840675,0.057314961171253384,156.09943778500823,6.052111851678944,0.03877087539555628,-1.0926461308612592,2.503232162822628,0.45540624636530214
900,3,2.2856189999346984e-05,0.9997493844785086,1.0339090590606783,0.008820636426561883,134.45176651020918,5.3732683919400595,0.03996428259298517,-0.12642542629057443,2.417655291364763,0.3315718232288923
1200,1,6.93360846411642e-05,0.999940788455985,0.991076514308737,0.00460333031815894,419.02994041400893,8.907697650706,0.021257902578286025,-1.1953551116655785,2.35932304432236,0.12492937576534438
1200,2,5.491375830220197e-05,0.9999239501081395,0.9840258593970542,0.006327327101833279,330.96967308641365,9.770935828429762,0.02952214847152671,1.1937418083881135,2.320342279997185,0.1924988425530299
1200,3,5.6379658941764445e-05,0.9967009756296678,0.9069646666158225,0.06128728397830642,354.0649409350455,11.162776680244065,0.03152748377392134,-31.269099204622314,1.2098332236618325,6.663567772669375
1500,1,0.0001473378424108703,0.9984080958683103,1.0810589732427118,0.0631269954392098,863.5403413165993,23.74791612191698,0.027500644713030604,-14.357539422902729,1.224725998897774,6.217799919830002
1500,2,0.00012400167561858513,0.9998044027771738,0.9580694012147337,0.028883898801249232,766.6988122256904,21.91640859047621,0.02858542134277463,-25.7847920501072,1.1949207335970708,5.982924909388921
1500,3,0.00014341685359961216,0.9998341388463423,1.0181590766746487,0.02255956449994285,849.2374067304003,27.06976046054653,0.031875374596093506,-18.71480459671892,1.2125376216661852,5.627403262165963
