T_K,D_primary_cm2_s,R2,alpha,sigma_NE_mS_cm,Li_MSD100_A2,framework_max_MSD100_A2
600,8.551769196756637e-07,0.9961922011297352,0.8281885568975648,103.70702455363798,5.48790229896262,0.35505668748746577
900,1.6966792448029268e-05,0.9972530099781253,0.9165408576835326,1313.0238397379726,104.79639896416919,4.121263193777425
1200,5.491375830220197e-05,0.9999239501081395,0.9840258593970542,3116.9200755802867,330.96967308641365,9.770935828429762
1500,0.00012400167561858513,0.9998044027771738,0.9580694012147337,5051.546838645261,766.6988122256904,21.91640859047621
