time_ps,T_K,PE_eV_atom,P_GPa,rho_g_cm3
5.000000000000000278e-02,1.234322402499999953e+03,-6.077492145241935262e+00,-8.272353814033331920e-01,2.207340320053524874e+00
1.000000000000000056e-01,1.280812443499999972e+03,-6.094371462661290373e+00,-8.731737008066665640e-01,2.207800872577564189e+00
1.500000000000000222e-01,1.240990745500000003e+03,-6.102838055483870150e+00,-8.961642134166667439e-01,2.211267783075463900e+00
2.000000000000000111e-01,1.082840140699999893e+03,-6.091383274677419024e+00,-6.830747034233333181e-01,2.220257844513906065e+00
2.500000000000000000e-01,1.147418062199999895e+03,-6.100487233064516346e+00,1.084473015546666863e+00,2.234803609154589310e+00
3.000000000000000444e-01,1.206341671800000086e+03,-6.107768612419355314e+00,1.427468509166666955e-01,2.243702084905489613e+00
3.500000000000000333e-01,1.182121470000000045e+03,-6.103365718790322525e+00,-6.419491959999986015e-03,2.251162104415675547e+00
4.000000000000000222e-01,1.264193396699999994e+03,-6.109383595967741165e+00,3.782485291466666233e-01,2.255882295887065236e+00
4.500000000000000111e-01,1.248350760199999968e+03,-6.099491588870967540e+00,1.870824701666666590e+00,2.258818452591928150e+00
5.000000000000000000e-01,1.354914017399999921e+03,-6.105896864516129341e+00,-4.143001355333331137e-02,2.255379231340833179e+00
5.500000000000000444e-01,1.214425786000000016e+03,-6.087550311693548544e+00,7.548277832733333303e-01,2.249133714364991210e+00
6.000000000000000888e-01,1.150280265000000099e+03,-6.087098230967741941e+00,2.099172960100000207e+00,2.238462507090371645e+00
6.500000000000000222e-01,1.132029415299999982e+03,-6.100995333951612309e+00,-1.087304689066666795e-02,2.220226070336880131e+00
7.000000000000000666e-01,1.059758118899999999e+03,-6.102476383629032775e+00,-1.191964954400000165e+00,2.200277023310177604e+00
7.500000000000000000e-01,1.104378584300000057e+03,-6.109230554435483462e+00,-1.147216244726666723e+00,2.185869375755800093e+00
8.000000000000000444e-01,1.139560526299999992e+03,-6.109145830725806192e+00,-3.449432857766666416e+00,2.184609639128596736e+00
8.500000000000000888e-01,1.091353609400000096e+03,-6.094952436854838673e+00,-9.625197374033334086e-01,2.198819243432233783e+00
9.000000000000000222e-01,1.382829154199999948e+03,-6.121007742741935154e+00,-7.514736724899998555e-01,2.217441927641714994e+00
9.500000000000000666e-01,1.250287286400000085e+03,-6.099989565080645271e+00,2.723059605779999948e-01,2.233499827114997505e+00
1.000000000000000000e+00,1.230648020500000030e+03,-6.098911845322581016e+00,2.975743881700000371e-01,2.245581573264628261e+00
1.050000000000000044e+00,1.218525627499999928e+03,-6.099986960564516281e+00,-9.294956419933333436e-01,2.254867606929946255e+00
1.100000000000000089e+00,1.278293484600000056e+03,-6.109669753467742659e+00,-1.139869270473333307e+00,2.260430058312955737e+00
1.150000000000000133e+00,1.162685926899999913e+03,-6.098285165887096682e+00,9.922474220333336870e-02,2.258347244506535567e+00
1.200000000000000178e+00,1.231281455199999982e+03,-6.110637734112903452e+00,-1.627679392766666344e-01,2.251676115986640525e+00
1.250000000000000000e+00,1.189292956700000104e+03,-6.109234560887096599e+00,6.477111904666666975e-01,2.240859650642502920e+00
1.300000000000000044e+00,1.261139419399999952e+03,-6.123122042016128752e+00,-1.389268505466667303e-01,2.222252972951966221e+00
1.350000000000000089e+00,1.022881973700000003e+03,-6.098299140322581025e+00,-5.854577731999999202e-02,2.209994443318678670e+00
1.400000000000000133e+00,1.068622206900000037e+03,-6.105667424919354325e+00,-1.104562023513333324e+00,2.206955849649571366e+00
1.450000000000000178e+00,1.118636907099999917e+03,-6.105994631854838595e+00,-1.827307371300000094e+00,2.213367118193112937e+00
1.500000000000000000e+00,1.246913548400000082e+03,-6.105656535322579792e+00,-1.442974854766666815e-01,2.232348288546795789e+00
1.550000000000000044e+00,1.316549186199999895e+03,-6.102910110161290369e+00,1.715026840950000020e+00,2.255718257626649237e+00
1.600000000000000089e+00,1.304600715000000037e+03,-6.099779105645160904e+00,4.315908464233332853e-01,2.277817219630830614e+00
1.650000000000000133e+00,1.397708824399999912e+03,-6.117749119032257710e+00,9.346574227233332977e-01,2.297336381502880887e+00
1.700000000000000178e+00,1.270918570300000056e+03,-6.111573456935483151e+00,8.784371294999999691e-01,2.309916375147075485e+00
1.750000000000000000e+00,1.306662939199999983e+03,-6.126125045322580398e+00,1.326165310213333282e+00,2.312288193122158386e+00
1.800000000000000044e+00,1.096370386300000064e+03,-6.103558014596774939e+00,3.369230463699999234e-01,2.305677398494991870e+00
1.850000000000000089e+00,1.121708984399999963e+03,-6.108236331774192784e+00,1.269284046313333247e+00,2.293251940291385793e+00
1.900000000000000133e+00,1.175880448099999967e+03,-6.114093231451612986e+00,1.055480439703333273e+00,2.272610130874153977e+00
1.950000000000000178e+00,1.093007819700000027e+03,-6.099366092016129670e+00,1.747866875000000098e-01,2.249643584927587980e+00
2.000000000000000000e+00,1.116428446699999995e+03,-6.095497581370968199e+00,-4.821599910000000100e-01,2.232573092426139105e+00
2.050000000000000266e+00,1.198727016999999933e+03,-6.097110613790323264e+00,-1.316905444723333263e+00,2.213727482001368152e+00
2.100000000000000089e+00,1.227296840499999917e+03,-6.094904852741935386e+00,1.109741651070000001e+00,2.202438761698476188e+00
2.149999999999999911e+00,1.224321102699999983e+03,-6.090999252822580701e+00,-1.300209735663333532e+00,2.200764739685878713e+00
2.200000000000000178e+00,1.181712897200000043e+03,-6.079492646290322710e+00,-1.429966656519999768e+00,2.210998908846834254e+00
2.250000000000000000e+00,1.346252690699999903e+03,-6.088435643548387510e+00,1.360004320799999888e+00,2.228448126873607382e+00
2.300000000000000266e+00,1.313079964699999891e+03,-6.070866309032258101e+00,6.522358657699999229e-01,2.239538506110801297e+00
2.350000000000000089e+00,1.462089013100000102e+03,-6.087934116935484141e+00,1.652105392600000000e+00,2.247289922136665563e+00
2.400000000000000355e+00,1.341679646099999900e+03,-6.085673282983870891e+00,-2.230472658566666322e+00,2.248639715466430378e+00
2.450000000000000178e+00,1.317258024700000078e+03,-6.101558068709676874e+00,-2.894345635133332983e-02,2.251015573182341800e+00
2.500000000000000000e+00,1.133545896899999889e+03,-6.088437140806451708e+00,1.995621662533333618e+00,2.254859451958792782e+00
2.550000000000000266e+00,1.159224796100000049e+03,-6.094973614435483356e+00,-2.218616334493333786e-01,2.258603445324252057e+00
2.600000000000000089e+00,1.192045617499999935e+03,-6.100682831612903811e+00,-7.223911786800000234e-01,2.263641681635187641e+00
2.650000000000000355e+00,1.267411129900000105e+03,-6.111798699516128863e+00,5.752327171333333489e-01,2.269058781379040379e+00
2.700000000000000178e+00,1.158480752599999960e+03,-6.099941453064515962e+00,-7.653847991486667501e-01,2.277799301110740249e+00
2.750000000000000000e+00,1.181145091699999966e+03,-6.105806263467742134e+00,-2.788807956999999615e-01,2.285923103260121270e+00
