frame,time_ps,li_index,x_A,y_A,z_A
0,0.0,0,6.03798381,25.10741725,10.930692950000001
0,0.0,1,2.0056885,10.35370103,6.60828879
0,0.0,2,2.33326297,3.72050086,0.17856704
0,0.0,3,2.35289787,5.93709916,3.0603012200000004
0,0.0,4,6.177727170000001,10.14752355,6.534534050000001
0,0.0,5,6.33448005,2.77233751,0.4136481900000001
0,0.0,6,8.16039472,8.76931019,0.5971425300000001
0,0.0,7,7.51777465,16.75885257,7.552257260000001
0,0.0,8,4.03991863,9.61028015,0.60984479
0,0.0,9,2.37587436,16.42776856,6.118895510000001
0,0.0,10,7.78141387,22.32297906,26.199510310000004
0,0.0,11,3.97341094,20.31453081,3.0645356500000003
0,0.0,12,3.6789794,16.1936341,0.17360555000000003
0,0.0,13,3.96161052,22.19705186,25.872246320000002
0,0.0,14,5.43736286,19.97802236,10.164994080000001
0,0.0,15,8.10541795,15.47767595,0.24291167000000002
0,0.0,16,3.63452039,2.68772369,13.432748200000002
0,0.0,17,7.84463078,2.57624493,13.49113227
0,0.0,18,8.13724752,11.85075138,16.06999863
0,0.0,19,1.82773473,12.80182787,10.171737140000001
0,0.0,20,7.77438626,22.8322245,14.06744376
0,0.0,21,3.82970678,14.973380950000001,12.142122610000001
0,0.0,22,3.52850424,18.71761955,16.152427660000004
0,0.0,23,6.21276674,16.67464094,13.59284
0,0.0,24,7.86257701,3.11339519,20.89963629
0,0.0,25,3.78512917,8.66352304,20.23677784
0,0.0,26,3.76996831,2.16354391,20.45519479
0,0.0,27,8.25836146,9.68726827,19.81029264
0,0.0,28,7.90530579,13.115808869999999,23.707315070000003
0,0.0,29,1.68497091,19.2104406,23.608725480000004
0,0.0,30,3.31085601,21.54200636,18.760259560000005
0,0.0,31,6.26333301,22.18769162,19.84508332
1,0.9999999999900029,0,6.20197864,24.74245349,11.426172140000002
1,0.9999999999900029,1,2.01831573,9.82914929,6.915880860000001
1,0.9999999999900029,2,1.92344994,3.72641693,0.18328824
1,0.9999999999900029,3,1.98782031,5.85790785,3.4125028700000004
1,0.9999999999900029,4,6.29937511,10.06198379,6.69914226
1,0.9999999999900029,5,6.20861052,2.82182408,0.19289469
1,0.9999999999900029,6,7.87526985,8.83191418,0.7785537800000001
1,0.9999999999900029,7,8.16528113,17.23854698,7.727363220000001
1,0.9999999999900029,8,4.1421233,10.05273223,0.48648181
1,0.9999999999900029,9,2.16299187,15.753422780000001,6.22214897
1,0.9999999999900029,10,8.20857795,22.85526676,26.06589753
1,0.9999999999900029,11,3.9551599100000003,20.43277863,3.32033041
1,0.9999999999900029,12,3.59337522,16.17708558,0.27726167000000007
1,0.9999999999900029,13,3.87066807,22.04202826,25.850544230000004
1,0.9999999999900029,14,5.85820397,20.10299308,10.48964788
1,0.9999999999900029,15,7.82795565,15.60765431,0.37140336
1,0.9999999999900029,16,3.38766237,2.3866125,13.529828260000002
1,0.9999999999900029,17,7.90141826,2.14726671,13.540506390000001
1,0.9999999999900029,18,7.991216,11.55689427,16.70081154
1,0.9999999999900029,19,1.83665938,12.4609776,10.31604504
1,0.9999999999900029,20,8.14300753,22.52357393,13.79297537
1,0.9999999999900029,21,3.9241069,14.468955489999999,12.136299660000002
1,0.9999999999900029,22,4.09368396,18.94456683,16.230082780000004
1,0.9999999999900029,23,6.30490382,16.82751905,13.862900840000002
1,0.9999999999900029,24,7.33556698,3.20203243,20.627871140000003
1,0.9999999999900029,25,3.1679889199999995,8.81967665,20.47542049
1,0.9999999999900029,26,3.39532901,2.75610993,20.75364296
1,0.9999999999900029,27,7.97041619,9.86377839,19.94396497
1,0.9999999999900029,28,7.91539631,13.15961092,23.670977040000004
1,0.9999999999900029,29,2.09463446,19.25007284,22.914157510000003
1,0.9999999999900029,30,3.95420478,21.11480782,18.83424454
1,0.9999999999900029,31,6.71366426,21.86523888,19.993250170000003
2,1.9999999999800058,0,5.51805289,24.51287502,10.3498917
2,1.9999999999800058,1,2.31548188,9.5133772,6.983177880000001
2,1.9999999999800058,2,2.08170884,3.51593888,0.08525682
2,1.9999999999800058,3,2.24245526,5.54497617,3.0062409500000005
2,1.9999999999800058,4,6.41464739,10.30668941,6.521828300000001
2,1.9999999999800058,5,6.0953087,2.69154254,0.57414219
2,1.9999999999800058,6,7.71805145,8.28675098,0.97882483
2,1.9999999999800058,7,8.19995964,17.55459221,7.681804030000001
2,1.9999999999800058,8,3.39505968,9.4790426,0.75251961
2,1.9999999999800058,9,2.17582299,16.39248628,5.72441052
2,1.9999999999800058,10,7.93854525,22.27061389,26.063191680000003
2,1.9999999999800058,11,3.94187111,20.70849975,3.1774131400000005
2,1.9999999999800058,12,3.89183241,16.76293426,0.5351575500000001
2,1.9999999999800058,13,3.77968301,22.66126154,26.153848570000005
2,1.9999999999800058,14,5.78164044,19.72999105,9.83786956
2,1.9999999999800058,15,8.35174801,16.22919964,0.7245322400000002
2,1.9999999999800058,16,3.7736424499999996,2.63664928,13.68070059
2,1.9999999999800058,17,8.04297796,2.12287661,13.515716180000002
2,1.9999999999800058,18,7.7522609,11.69314737,16.66944774
2,1.9999999999800058,19,2.03376168,12.2415721,9.972167800000001
2,1.9999999999800058,20,8.02668116,22.78277797,13.898882730000002
2,1.9999999999800058,21,4.26861349,14.441185479999998,11.948637660000001
2,1.9999999999800058,22,3.78335119,18.54660619,15.248459240000003
2,1.9999999999800058,23,6.31183231,16.70470164,13.460078760000002
2,1.9999999999800058,24,7.83209234,3.80025552,20.569602240000002
2,1.9999999999800058,25,3.81867386,9.03177303,20.04117431
2,1.9999999999800058,26,3.80411474,2.47734902,20.698250650000002
2,1.9999999999800058,27,8.05176342,9.39434851,19.91980543
2,1.9999999999800058,28,7.96928239,13.31336465,23.597461720000002
