# Time-averaged data for fix msd_out
# TimeStep c_msd_li[1] c_msd_li[2] c_msd_li[3] c_msd_li[4]
0 4.83383e-30 1.15809e-30 6.09557e-32 6.05287e-30
1000 0.53621 0.426085 0.955495 1.91779
2000 0.693804 0.46605 1.45316 2.61302
3000 0.629205 0.420563 1.9078 2.95757
4000 1.11724 0.993812 2.56409 4.67514
5000 1.19271 1.50615 2.81219 5.51106
6000 1.08505 1.04157 2.49645 4.62306
7000 1.27253 2.17969 2.74125 6.19347
8000 1.3676 1.93237 3.86286 7.16283
9000 1.93908 1.88162 4.17169 7.99238
10000 2.47769 2.00448 4.90484 9.38701
11000 2.45099 2.14918 4.71062 9.3108
12000 2.65499 2.43843 4.56665 9.66007
13000 3.54728 2.56606 5.31775 11.4311
14000 3.29927 3.03443 6.08966 12.4234
15000 3.77658 3.15573 7.00659 13.9389
16000 3.60575 2.80127 6.97679 13.3838
17000 3.63028 3.26718 7.75419 14.6516
18000 3.66908 3.38889 8.87309 15.9311
19000 4.01309 3.19179 9.83893 17.0438
20000 4.17284 2.60167 11.1962 17.9707
21000 4.56756 2.65328 11.12 18.3408
22000 4.73117 2.8312 11.7715 19.3338
23000 5.2208 2.46515 14.0193 21.7053
24000 5.72145 3.25337 14.8039 23.7787
25000 5.53983 3.1545 14.69 23.3843
26000 6.07145 3.22998 16.8676 26.169
27000 5.83759 3.63774 15.5101 24.9855
28000 6.33549 4.54611 15.7898 26.6714
29000 6.65861 4.62137 15.3477 26.6277
30000 7.17503 4.38748 16.1362 27.6987
31000 7.13127 4.05548 16.6834 27.8702
32000 7.52785 5.38127 17.379 30.2881
33000 7.41369 5.83811 18.2829 31.5347
34000 7.76286 5.70228 17.7525 31.2176
35000 7.37579 5.25015 19.1851 31.811
36000 7.75117 5.55507 22.1546 35.4608
37000 8.76237 6.02404 21.5718 36.3582
38000 8.42613 6.22181 21.173 35.8209
39000 8.6656 5.81218 20.6361 35.1138
40000 9.38185 6.55339 18.2345 34.1697
41000 8.81113 7.11143 19.8362 35.7588
42000 9.23849 7.04738 21.7258 38.0117
43000 8.90468 7.62968 22.2294 38.7637
44000 9.03241 7.23277 21.2944 37.5596
45000 9.02049 7.30125 22.2141 38.5359
46000 9.05995 6.78312 22.8138 38.6569
47000 8.70669 6.54897 23.3036 38.5592
48000 9.77023 7.22629 23.4389 40.4354
49000 9.66502 6.33129 24.2967 40.293
50000 9.36614 6.93362 24.7677 41.0674
51000 9.40139 6.64917 24.9237 40.9743
52000 9.2767 6.76804 26.2232 42.2679
53000 9.99951 6.8905 26.6434 43.5334
54000 9.62561 7.27235 26.7685 43.6665
55000 9.67731 7.69154 27.9302 45.2991
56000 10.3359 7.94249 27.2216 45.5
57000 10.9561 8.56882 27.6763 47.2012
58000 12.2982 8.45121 27.9857 48.7351
59000 12.9146 9.54128 29.6439 52.0998
60000 12.6872 9.41617 29.8208 51.9241
61000 12.3729 10.4494 28.5371 51.3594
62000 13.8609 10.439 28.4126 52.7126
63000 13.7167 10.3535 28.4122 52.4824
64000 13.5517 10.0431 29.4738 53.0686
65000 12.3665 11.0659 30.2665 53.6989
66000 13.5663 11.7164 31.3532 56.636
67000 13.3414 12.2944 33.5023 59.138
68000 12.4569 12.8594 34.683 59.9993
69000 12.5342 13.8294 35.3878 61.7514
70000 13.6896 12.4763 35.6686 61.8345
71000 13.7101 12.617 36.9459 63.2731
72000 14.0889 12.5414 35.6123 62.2426
73000 14.1469 13.861 33.2144 61.2223
74000 14.719 13.317 34.4212 62.4573
75000 14.8354 12.8351 34.8469 62.5174
76000 13.2555 13.7136 37.975 64.9442
77000 13.1048 13.9186 37.7973 64.8207
78000 13.5546 13.9668 37.7151 65.2366
79000 12.8492 14.1464 38.8602 65.8558
80000 12.3785 14.1433 37.7397 64.2615
81000 12.4504 14.0121 37.961 64.4235
82000 14.9326 14.1541 38.1317 67.2185
83000 14.6546 15.3995 38.5182 68.5723
84000 16.2883 15.0545 38.1672 69.5101
85000 15.8691 16.1936 37.3786 69.4413
86000 16.3984 17.4383 38.9581 72.7947
87000 15.6556 17.6807 38.4614 71.7977
88000 15.8763 19.229 36.6925 71.7978
89000 18.4415 20.5939 40.7371 79.7726
90000 19.6923 19.65 42.4833 81.8256
91000 19.5362 20.3061 40.9905 80.8328
92000 19.2052 20.9675 42.7529 82.9256
93000 19.3733 22.1809 43.465 85.0192
94000 20.6471 21.6995 42.0866 84.4333
95000 20.6632 20.7512 39.848 81.2624
96000 20.0405 20.4052 41.2959 81.7417
97000 20.7496 21.7462 40.3423 82.8381
